Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2009);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;18316;Journal of Veterinary Internal Medicine;journal;19391676, 08916640;1.502;Q1;110;186;622;5883;1480;591;2.26;31.63;United States;Northern America;Wiley-Blackwell;1987-2021;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
2;19555;Veterinary Research;journal;09284249, 12979716;1.489;Q1;109;66;181;3549;702;177;3.71;53.77;United Kingdom;Western Europe;BioMed Central Ltd.;1993-2021;Veterinary (miscellaneous) (Q1)
3;21376;Vaccine;journal;0264410X, 18732518;1.453;Q1;191;1232;3072;45770;11823;2916;3.76;37.15;Netherlands;Western Europe;Elsevier BV;1983-2021;"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q2); Molecular Medicine (Q2)"
4;20882;Veterinary Microbiology;journal;03781135, 18732542;1.309;Q1;135;411;921;12328;2784;903;2.87;30;Netherlands;Western Europe;Elsevier;1976-2021;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Microbiology (Q2)"
5;19574;Veterinary Surgery;journal;1532950X, 01613499;1.247;Q1;82;142;344;3548;617;317;1.6;24.99;United States;Northern America;Wiley-Blackwell;1972-2021;Veterinary (miscellaneous) (Q1)
6;92166;Small Ruminant Research;journal;09214488;1.176;Q1;87;166;705;4752;1131;697;1.63;28.63;Netherlands;Western Europe;Elsevier;1988-2021;"Animal Science and Zoology (Q1); Food Animals (Q1)"
7;20491;Journal of Medical Entomology;journal;00222585;1.146;Q1;104;204;499;7054;1186;497;2.09;34.58;United States;Northern America;Oxford University Press;1964-2021;"Insect Science (Q1); Parasitology (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2)"
8;19537;Veterinary Parasitology;journal;03044017, 18732550;1.138;Q1;131;472;1171;14889;3042;1153;2.41;31.54;Netherlands;Western Europe;Elsevier;1975-2021;"Medicine (miscellaneous) (Q1); Parasitology (Q1); Veterinary (miscellaneous) (Q1)"
9;17778;Medical and Veterinary Entomology;journal;0269283X, 13652915;1.055;Q1;86;74;156;2667;410;155;2.37;36.04;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1987-2021;"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Parasitology (Q2)"
10;17777;Equine Veterinary Journal;journal;20423306, 04251644;1.041;Q1;92;172;441;3860;671;411;1.67;22.44;United States;Northern America;Wiley-Blackwell;1968-2021;"Equine (Q1); Medicine (miscellaneous) (Q1)"
11;18838;Preventive Veterinary Medicine;journal;01675877, 18731716;1.032;Q1;100;184;375;5264;815;364;2.24;28.61;Netherlands;Western Europe;Elsevier;1982-2021;"Animal Science and Zoology (Q1); Food Animals (Q1)"
12;17689;Avian Pathology;journal;03079457, 14653338;1.025;Q1;86;70;227;1998;461;225;1.7;28.54;United Kingdom;Western Europe;Taylor and Francis Ltd.;1972-2021;"Animal Science and Zoology (Q1); Food Animals (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
13;18903;Theriogenology;journal;0093691X, 18793231;1.001;Q1;137;310;1117;12261;2649;1095;2.22;39.55;United States;Northern America;Elsevier Inc.;1974-2021;"Animal Science and Zoology (Q1); Equine (Q1); Food Animals (Q1); Small Animals (Q1)"
14;19524;Veterinary Journal;journal;15322971, 10900233;0.994;Q1;113;256;664;8549;1317;553;1.95;33.39;United Kingdom;Western Europe;Bailliere Tindall Ltd;1997-2021;"Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1)"
15;17687;Avian Diseases;journal;00052086;0.992;Q1;83;101;414;2945;849;414;2.25;29.16;United States;Northern America;American Association of Avian Pathologists;1963, 1965-2021;"Animal Science and Zoology (Q1); Food Animals (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
16;17121;American Journal of Veterinary Research;journal;19435681, 00029645;0.978;Q1;94;197;712;6447;1207;699;1.64;32.73;United States;Northern America;American Veterinary Medical Association;1945-1947, 1949-2021;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
17;4300151401;BMC Veterinary Research;journal;17466148;0.969;Q1;66;44;125;1505;294;125;2.18;34.2;United Kingdom;Western Europe;BioMed Central Ltd.;2005-2021;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
18;24609;Applied Animal Behaviour Science;journal;01681591;0.909;Q1;116;180;594;6964;1254;583;1.96;38.69;Netherlands;Western Europe;Elsevier;1984-2021;"Animal Science and Zoology (Q1); Food Animals (Q1)"
19;19498;Veterinary Anaesthesia and Analgesia;journal;14672995, 14672987;0.901;Q1;57;69;170;2037;279;165;1.66;29.52;United Kingdom;Western Europe;Elsevier Ltd.;1970-1974, 1976-1978, 1980, 1982-1986, 1988-2021;Veterinary (miscellaneous) (Q1)
20;21288;Acta Tropica;journal;18736254, 0001706X;0.881;Q1;106;196;434;6889;962;433;2.31;35.15;Netherlands;Western Europe;Elsevier;1945-2021;"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2); Parasitology (Q2)"
21;18297;Journal of Feline Medicine and Surgery;journal;1098612X, 15322750;0.872;Q1;66;150;230;3984;391;223;1.45;26.56;United Kingdom;Western Europe;SAGE Publications Inc.;1999-2021;Small Animals (Q1)
22;29580;Journal of Comparative Pathology;journal;00219975, 15323129;0.84;Q1;74;75;236;2209;424;232;1.61;29.45;United Kingdom;Western Europe;W.B. Saunders Ltd;1950-2021;"Veterinary (miscellaneous) (Q1); Pathology and Forensic Medicine (Q2)"
23;94447;Journal of Animal Breeding and Genetics;journal;09312668, 14390388;0.835;Q1;54;62;188;1531;335;171;1.72;24.69;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1985-2021;"Animal Science and Zoology (Q1); Food Animals (Q1); Medicine (miscellaneous) (Q1)"
24;19501;Veterinary and Comparative Orthopaedics and Traumatology;journal;25676911, 09320814;0.835;Q1;47;101;200;2429;237;185;0.99;24.05;Germany;Western Europe;Georg Thieme Verlag;1996-2021;"Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1)"
25;19551;Veterinary Radiology and Ultrasound;journal;17408261, 10588183;0.834;Q1;63;119;320;2634;427;306;1.12;22.13;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1992-2021;Veterinary (miscellaneous) (Q1)
26;19660;Comparative Immunology, Microbiology and Infectious Diseases;journal;18781667, 01479571;0.821;Q1;59;41;101;1901;252;97;2.88;46.37;United Kingdom;Western Europe;Elsevier Ltd.;1978-2021;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Immunology and Allergy (Q2); Infectious Diseases (Q2); Immunology (Q3); Microbiology (Q3)"
27;3300147807;Livestock Science;journal;18711413;0.817;Q1;116;306;753;10988;1192;747;1.51;35.91;Netherlands;Western Europe;Elsevier;2006-2021;"Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1)"
28;38539;Animal Welfare;journal;09627286;0.812;Q1;70;67;185;2236;271;171;1.42;33.37;United Kingdom;Western Europe;Universities Federation for Animal Welfare;1994, 1996-2021;"Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)"
29;17123;Journal of the American Veterinary Medical Association;journal;00031488, 1943569X;0.812;Q1;116;409;1435;6645;1498;997;0.95;16.25;United States;Northern America;American Veterinary Medical Association;1945-2021;Veterinary (miscellaneous) (Q1)
30;5200153105;Zoonoses and Public Health;journal;18631959, 18632378;0.791;Q1;69;62;244;2506;488;237;1.8;40.42;Germany;Western Europe;Wiley-Blackwell Publishing Ltd;2007-2021;"Veterinary (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q2); Infectious Diseases (Q2); Public Health, Environmental and Occupational Health (Q2); Epidemiology (Q3)"
31;19520;Veterinary Immunology and Immunopathology;journal;01652427, 18732534;0.784;Q1;98;246;637;9601;1405;631;1.99;39.03;Netherlands;Western Europe;Elsevier;1979-2021;"Veterinary (miscellaneous) (Q1); Immunology (Q3)"
32;13527;Journal of Fish Diseases;journal;13652761, 01407775;0.772;Q1;88;115;282;3486;552;278;1.72;30.31;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1978-2021;"Veterinary (miscellaneous) (Q1); Aquatic Science (Q2)"
33;18300;Journal of Small Animal Practice;journal;00224510, 17485827;0.764;Q1;71;158;434;2808;431;360;0.89;17.77;United States;Northern America;Wiley-Blackwell;1960-2021;Small Animals (Q1)
34;19538;Veterinary Pathology;journal;15442217, 03009858;0.757;Q1;94;170;431;4866;659;412;1.34;28.62;United States;Northern America;SAGE Publications Ltd;1964-2021;Veterinary (miscellaneous) (Q1)
