Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2004);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;16721;Annual Review of Plant Biology;journal;15452123, 15435008;9.485;Q1;272;24;80;3218;1340;79;16.12;134.08;United States;Northern America;Annual Reviews Inc.;1996-2021;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
2;145144;Journal of Biology;journal;14754924, 14785854;9.02;Q1;55;20;33;510;270;30;8.18;25.5;United Kingdom;Western Europe;BioMed Central Ltd.;2002-2010;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
3;16594;Plant Cell;journal;1532298X, 10404651;7.7;Q1;360;284;724;17000;7623;686;11.02;59.86;United States;Northern America;American Society of Plant Biologists;1989-2021;"Cell Biology (Q1); Plant Science (Q1)"
4;110325;Annual Review of Ecology, Evolution, and Systematics;book series;1543592X;7.49;Q1;223;24;68;4205;747;68;9.65;175.21;United States;Northern America;Annual Reviews Inc.;2003-2020;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
5;15537;Current Biology;journal;18790445, 09609822;6.572;Q1;331;700;1903;16119;11933;1764;6.37;23.03;United States;Northern America;Cell Press;1991-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
6;12977;PLoS Biology;journal;15449173, 15457885;6.047;Q1;281;351;86;9791;501;81;5.83;27.89;United States;Northern America;Public Library of Science;2003-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
7;14365;Trends in Ecology and Evolution;journal;01695347, 18728383;5.939;Q1;357;119;506;4849;3014;426;5.83;40.75;United Kingdom;Western Europe;Elsevier Ltd.;1986-2021;Ecology, Evolution, Behavior and Systematics (Q1)
8;14305;Systematic Biology;journal;1076836X, 10635157;5.65;Q1;188;72;209;4886;1656;207;7.92;67.86;United Kingdom;Western Europe;Oxford University Press;1952, 1968-1975, 1977-1978, 1980-1982, 1984, 1986, 1988-1989, 1991-2021;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
9;19133;Annual Review of Entomology;journal;00664170, 15454487;5.531;Q1;209;20;79;2521;751;77;10.28;126.05;United States;Northern America;Annual Reviews Inc.;1961-1963, 1966-1967, 1969-1979, 1981-2021;"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)"
10;17924;Current Opinion in Plant Biology;journal;18790356, 13695266;5.098;Q1;213;103;256;5151;2148;234;8.59;50.01;United Kingdom;Western Europe;Elsevier Ltd.;1998-2022;Plant Science (Q1)
