Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2007);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Categories
322;21995;Contemporary Economic Policy;journal;ISSN 14657287, 10743529;0.36;Q3;41;46;139;1409;106;135;0.61;30.63;United Kingdom;"Business, Management and Accounting (miscellaneous) (Q2); Public Administration (Q2); Economics and Econometrics (Q3)"
323;29533;Topics in Economic Analysis and Policy;journal;ISSN 15380653;0.359;Q2;13;0;48;0;28;48;0.56;0.0;United States;Economics, Econometrics and Finance (miscellaneous) (Q2)
324;29806;International Journal of Accounting Information Systems;journal;ISSN 14670895;0.359;Q3;42;12;77;685;57;60;0.66;57.08;United Kingdom;"Information Systems and Management (Q2); Management Information Systems (Q2); Accounting (Q3); Finance (Q3)"
325;11800154592;Journal of Sports Economics;journal;ISSN 15270025;0.358;Q2;36;44;87;727;75;83;0.83;16.52;United States;"Economics, Econometrics and Finance (miscellaneous) (Q2); Sports Science (Q3)"
326;29064;Engineering Economist;journal;ISSN 0013791, 0013791X;0.358;Q3;28;18;57;454;50;53;0.74;25.22;United Kingdom;"Education (Q2); Engineering (miscellaneous) (Q2); Economics and Econometrics (Q3)"
327;145573;GENEVA Risk and Insurance Review;journal;ISSN 15549658, 1554964;0.355;Q3;17;8;30;267;9;30;0.3;33.38;Germany;"Business, Management and Accounting (miscellaneous) (Q2); Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)"
328;15662;International Review of Law and Economics;journal;ISSN 01448188;0.353;Q3;37;25;100;811;56;95;0.5;32.44;Netherlands;"Law (Q1); Economics and Econometrics (Q3); Finance (Q3)"
329;13924;Studies in Political Economy;journal;ISSN 00393746, 07078552;0.352;Q3;13;18;44;1420;31;38;0.75;78.89;United Kingdom;"Political Science and International Relations (Q2); Economics and Econometrics (Q3)"
330;25564;German Economic Review;journal;ISSN 14680475, 14656485;0.348;Q3;28;25;68;800;48;67;0.72;32.0;United Kingdom;Economics and Econometrics (Q3)
331;144642;Managerial Auditing Journal;journal;ISSN 02686902;0.348;Q2;43;53;204;1987;115;204;0.39;37.49;United Kingdom;"Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Organizational Behavior and Human Resource Management (Q2); Accounting (Q3)"
332;145601;International Relations of the Asia-Pacific;journal;ISSN 1470482X, 1470482;0.348;Q2;19;19;27;1094;19;24;0.79;57.58;United Kingdom;"Economics, Econometrics and Finance (miscellaneous) (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
333;22743;International Environmental Agreements: Politics, Law and Economics;journal;ISSN 15731553, 15679764;0.345;Q3;29;19;55;885;41;54;0.78;46.58;Netherlands;"Law (Q1); Political Science and International Relations (Q2); Economics and Econometrics (Q3)"
334;22707;International Review of Economics and Finance;journal;ISSN 10590560;0.345;Q3;38;40;90;1063;70;88;0.73;26.58;Netherlands;"Economics and Econometrics (Q3); Finance (Q3)"
335;19458;Eastern European Economics;journal;ISSN 00128775;0.344;Q3;17;29;82;743;34;69;0.46;25.62;United States;Economics and Econometrics (Q3)
336;69005;Agricultural Finance Review;journal;ISSN 20416326, 00021466;0.339;Q2;18;20;45;544;22;45;0.3;27.2;United Kingdom;"Agricultural and Biological Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Strategy and Management (Q2); Economics and Econometrics (Q3); Finance (Q3)"
337;17385;International Review of Financial Analysis;journal;ISSN 10575219;0.335;Q3;38;30;96;1044;78;94;0.56;34.8;Netherlands;"Economics and Econometrics (Q3); Finance (Q3)"
338;29035;Open Economies Review;journal;ISSN 09237992, 1573708;0.335;Q3;27;32;71;850;40;70;0.29;26.56;Netherlands;Economics and Econometrics (Q3)
339;100147314;Journal of International Financial Management and Accounting;journal;ISSN 1467646X, 1467646, 09541314;0.335;Q3;30;9;31;406;21;31;0.4;45.11;United Kingdom;"Business, Management and Accounting (miscellaneous) (Q2); Accounting (Q3); Finance (Q3)"
340;21210;Local Economy;journal;ISSN 02690942, 14709325;0.33;Q2;30;43;117;707;68;111;0.41;16.44;United States;Economics, Econometrics and Finance (miscellaneous) (Q2)
341;130073;Journal of Consumer Policy;journal;ISSN 01687034;0.33;Q3;34;24;38;931;30;34;0.88;38.79;Netherlands;"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q3)"
342;29429;Post-Communist Economies;journal;ISSN 14631377;0.328;Q3;22;28;82;680;55;82;0.53;24.29;United Kingdom;Economics and Econometrics (Q3)
343;12915;Space Policy;journal;ISSN 02659646;0.327;Q3;18;35;113;350;72;113;0.37;10.0;United Kingdom;"Sociology and Political Science (Q2); Economics and Econometrics (Q3); Space and Planetary Science (Q3)"
344;20314;Journal of Institutional and Theoretical Economics;journal;ISSN 09324569;0.326;Q3;30;50;133;1200;77;132;0.33;24.0;Germany;Economics and Econometrics (Q3)
345;18972;Information Economics and Policy;journal;ISSN 01676245;0.323;Q3;43;21;89;506;84;87;1.07;24.1;Netherlands;"Management, Monitoring, Policy and Law (Q2); Economics and Econometrics (Q3)"
346;24089;North American Journal of Economics and Finance;journal;ISSN 10629408;0.32;Q3;29;18;67;466;33;63;0.63;25.89;Netherlands;"Economics and Econometrics (Q3); Finance (Q3)"
347;27094;Fiscal Studies;journal;ISSN 14755890, 01435671;0.319;Q3;34;20;60;658;64;60;0.85;32.9;United States;"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)"
348;16159;Review of Derivatives Research;journal;ISSN 13806645;0.318;Q2;24;11;25;323;11;25;0.13;29.36;Netherlands;"Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q3)"
349;144657;Journal of Property Investment and Finance;journal;ISSN 1463578X, 1463578;0.318;Q2;28;43;120;782;50;113;0.35;18.19;United Kingdom;"Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q3)"
350;28952;Journal of Economic Issues;journal;ISSN 00213624;0.316;Q3;36;73;211;2861;132;205;0.67;39.19;United Kingdom;"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q3)"
351;25587;Pacific Economic Review;journal;ISSN 1361374, 1361374X;0.313;Q3;27;42;99;930;40;96;0.32;22.14;United Kingdom;"Aerospace Engineering (Q2); Development (Q2); Geography, Planning and Development (Q2); Economics and Econometrics (Q3)"
352;144933;Review of Economics of the Household;journal;ISSN 15737152, 15695239;0.311;Q3;24;19;41;559;19;39;0.49;29.42;Netherlands;"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3)"
353;24352;Journal of Economic Studies;journal;ISSN 01443585;0.309;Q2;30;30;102;1259;66;102;0.83;41.97;United Kingdom;Economics, Econometrics and Finance (miscellaneous) (Q2)
354;4000152103;Advances in Entrepreneurship, Firm Emergence and Growth;book serie;ISSN 10747540;0.307;Q2;13;10;31;842;11;31;0.29;84.2;United Kingdom;"Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2)"
355;20077;De Economist;journal;ISSN 0013063, 0013063X, 15729982;0.306;Q3;25;20;82;579;39;75;0.51;28.95;Netherlands;Economics and Econometrics (Q3)
356;145213;Extremes;journal;ISSN 13861999;0.305;Q2;25;13;63;290;26;62;0.33;22.31;Netherlands;"Economics, Econometrics and Finance (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Statistics and Probability (Q4)"
357;29884;Journal of International Accounting, Auditing and Taxation;journal;ISSN 10619518;0.305;Q3;33;9;30;485;21;30;0.68;53.89;United Kingdom;"Accounting (Q3); Finance (Q3)"
358;26941;Theory and Decision;journal;ISSN 00405833, 15737187;0.304;Q2;30;29;107;876;46;105;0.46;30.21;Netherlands;"Arts and Humanities (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Applied Psychology (Q3); Computer Science Applications (Q3); Decision Sciences (miscellaneous) (Q3); Developmental and Educational Psychology (Q3)"
359;15590;Financial Markets, Institutions and Instruments;journal;ISSN 14680416, 09638008;0.303;Q2;19;8;28;584;19;27;0.65;73.0;United Kingdom;"Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q3)"
360;21100218004;Journal of Institutional Economics;journal;ISSN 17441374, 17441382;0.302;Q2;18;0;24;0;18;24;0.75;0.0;United Kingdom;Economics, Econometrics and Finance (miscellaneous) (Q2)
361;20320;Journal of Policy Modeling;journal;ISSN 01618938;0.299;Q3;40;67;223;1307;119;211;0.42;19.51;Netherlands;Economics and Econometrics (Q3)
362;19053;Computational Economics;journal;ISSN 15729974, 09277099;0.299;Q2;33;50;106;1043;62;100;0.69;20.86;Netherlands;"Economics, Econometrics and Finance (miscellaneous) (Q2); Computer Science Applications (Q3)"
363;22736;Journal of Asian Economics;journal;ISSN 10490078;0.297;Q3;37;54;194;1565;105;180;0.44;28.98;Netherlands;"Economics and Econometrics (Q3); Finance (Q3)"
364;4100151536;Research in Transportation Economics;journal;ISSN 07398859;0.294;Q2;30;37;156;1561;48;147;0.24;42.19;United Kingdom;"Economics, Econometrics and Finance (miscellaneous) (Q2); Transportation (Q2)"
365;18881;Australian Economic Review;journal;ISSN 00049018, 14678462;0.293;Q3;25;44;128;873;65;123;0.5;19.84;United Kingdom;Economics and Econometrics (Q3)
366;29020;Manchester School;journal;ISSN 14636786, 14679957;0.287;Q3;34;44;140;1215;62;138;0.3;27.61;United Kingdom;Economics and Econometrics (Q3)
367;27142;Indian Economic and Social History Review;journal;ISSN 00194646;0.286;Q3;15;15;30;853;10;29;0.54;56.87;India;"History (Q1); Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3)"
368;19900192150;Pacific Rim Property Research Journal;journal;ISSN 14445921;0.285;Q2;13;27;64;780;17;64;0.3;28.89;United Kingdom;Economics, Econometrics and Finance (miscellaneous) (Q2)
369;16084;Journal of Commercial Biotechnology;journal;ISSN 1478565, 14628732;0.284;Q3;13;22;98;423;36;86;0.29;19.23;United Kingdom;"Biotechnology (Q3); Economics and Econometrics (Q3); Management of Technology and Innovation (Q3)"
370;4700152505;Journal of Education Finance;journal;ISSN 00989495;0.283;Q3;11;21;44;1470;15;42;0.36;70.0;United States;"Education (Q3); Finance (Q3); Public Administration (Q3)"
371;21100384312;Journal des Economistes et des Etudes Humaines;journal;ISSN 21531552, 21945799, 11456396;0.28;Q2;9;0;17;0;3;17;0.0;0.0;Germany;"Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2)"
372;200147129;Cato Journal;journal;ISSN 02733072;0.28;Q2;26;35;101;645;33;97;0.31;18.43;United States;"Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Public Administration (Q3)"
373;28956;Jahrbuch für Wirtschaftsgeschichte;journal;ISSN 00752800;0.278;Q3;8;20;57;1183;14;56;0.25;59.15;Germany;"History (Q1); Economics and Econometrics (Q3)"
374;29804;International Journal of Accounting;journal;ISSN 10944060;0.276;Q3;45;20;65;831;37;56;0.59;41.55;United Kingdom;"Accounting (Q3); Finance (Q3)"
375;144667;Property Management;journal;ISSN 02637472;0.275;Q3;21;33;93;824;31;90;0.21;24.97;United Kingdom;"Business, Management and Accounting (miscellaneous) (Q2); Tourism, Leisure and Hospitality Management (Q2); Finance (Q3)"
376;71598;Agricultural and Resource Economics Review;journal;ISSN 23722614, 10682805;0.275;Q3;24;26;78;856;44;78;0.31;32.92;United States;"Agronomy and Crop Science (Q3); Economics and Econometrics (Q3)"
377;24888;Economics and Philosophy;journal;ISSN 02662671, 14740028;0.274;Q3;32;22;62;447;35;58;0.59;20.32;United Kingdom;"Philosophy (Q1); Economics and Econometrics (Q3)"
378;4100151535;Research in Political Economy;book serie;ISSN 01617230;0.271;Q3;8;10;31;566;7;30;0.16;56.6;United Kingdom;"Political Science and International Relations (Q2); Economics and Econometrics (Q3)"
379;5700162683;Globalizations;journal;ISSN 1474774X, 14747731;0.271;Q2;30;45;102;2043;76;97;0.68;45.4;United States;"Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2); Management, Monitoring, Policy and Law (Q3); Public Administration (Q3)"
380;12300154710;Economic and Labour Relations Review;journal;ISSN 10353046;0.271;Q3;12;16;31;561;12;31;0.41;35.06;United States;"Economics and Econometrics (Q3); Organizational Behavior and Human Resource Management (Q3)"
381;23717;International Journal of Social Economics;journal;ISSN 03068293;0.27;Q3;32;57;183;2194;68;183;0.3;38.49;United Kingdom;"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3)"
382;21100821602;Business and Professional Communication Quarterly;journal;ISSN 23294922, 23294906;0.269;Q2;28;78;112;416;39;97;0.42;5.33;United States;"Arts and Humanities (miscellaneous) (Q2); Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2)"
383;12100155919;Journal of Financial Counseling and Planning;journal;ISSN 19477910, 10523073;0.266;Q3;29;12;47;396;24;46;0.4;33.0;United States;"Economics and Econometrics (Q3); Finance (Q3)"
384;19571;Journal of Media Economics;journal;ISSN 15327736, 08997764;0.266;Q3;26;12;48;661;25;46;0.32;55.08;United States;"Communication (Q3); Economics and Econometrics (Q3)"
385;5800228210;FinanzArchiv;journal;ISSN 16140974, 00152218;0.265;Q3;12;30;28;817;6;26;0.23;27.23;Germany;Finance (Q3)
386;18165;International Social Security Review;journal;ISSN 0020871, 1468246, 0020871X;0.264;Q2;21;3;15;2;12;14;0.92;0.67;United Kingdom;"Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2); Public Administration (Q3)"
387;23633;Quarterly Review of Economics and Finance;journal;ISSN 10629769;0.264;Q3;42;52;128;1416;68;123;0.36;27.23;Netherlands;"Economics and Econometrics (Q3); Finance (Q3)"
388;27748;Emerging Markets Finance and Trade;journal;ISSN 1540496, 1540496X;0.26;Q2;24;34;97;757;46;85;0.5;22.26;United States;"Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q3)"
389;28970;Journal of Cultural Economics;journal;ISSN 08852545, 15736997;0.26;Q2;34;19;48;471;26;47;0.41;24.79;United States;Economics, Econometrics and Finance (miscellaneous) (Q2)
390;25477;South African Journal of Economics;journal;ISSN 00382280;0.259;Q3;24;44;153;1434;70;151;0.36;32.59;United States;Economics and Econometrics (Q3)
391;12056;Research in International Business and Finance;journal;ISSN 02755319;0.259;Q3;27;28;65;1097;49;64;0.7;39.18;Netherlands;"Business, Management and Accounting (miscellaneous) (Q2); Finance (Q3)"
392;20750;European Journal of Law and Economics;journal;ISSN 15729990, 09291261;0.256;Q3;24;27;107;1004;43;107;0.37;37.19;Netherlands;"Business and International Management (Q2); Law (Q2); Economics and Econometrics (Q3)"
393;4000148806;GAIA;journal;ISSN 09405550;0.253;Q2;22;44;103;737;34;89;0.38;16.75;Germany;"Economics, Econometrics and Finance (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2)"
394;5200153107;China and World Economy;journal;ISSN 1749124X, 16712234;0.253;Q2;22;47;48;777;22;48;0.46;16.53;United States;Economics, Econometrics and Finance (miscellaneous) (Q2)
395;11800154587;China Information;journal;ISSN 1741590, 1741590X, 0920203;0.251;Q3;19;15;36;745;11;34;0.35;49.67;United Kingdom;"Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3)"
396;25524;Social Marketing Quarterly;journal;ISSN 15394093, 15245004;0.249;Q3;21;34;84;411;18;73;0.21;12.09;United States;"Marketing (Q2); Economics and Econometrics (Q3)"
397;5600153382;Journal of the Economic and Social History of the Orient;journal;ISSN 00224995, 15685209;0.248;Q3;22;21;55;1151;22;51;0.32;54.81;Netherlands;"History (Q1); Economics and Econometrics (Q3); Sociology and Political Science (Q3)"
398;16000154770;Tijdschrift voor Sociale en Economische Geschiedenis;journal;ISSN 15721701;0.245;Q3;10;22;51;1335;20;51;0.45;60.68;Netherlands;"History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3)"
399;20500195102;Investigaciones de Historia Economica;journal;ISSN 16986989;0.244;Q3;8;0;10;0;2;10;0.2;0.0;Spain;"History (Q1); Economics and Econometrics (Q3)"
400;14971;European Journal of Finance;journal;ISSN 1351847, 14664364, 1351847X;0.243;Q3;24;40;106;1251;40;104;0.33;31.28;United Kingdom;Economics, Econometrics and Finance (miscellaneous) (Q3)
401;145669;Electronic Commerce Research;journal;ISSN 13895753, 15729362;0.243;Q3;31;16;38;667;43;35;1.23;41.69;Netherlands;"Economics, Econometrics and Finance (miscellaneous) (Q3); Human-Computer Interaction (Q3)"
402;21100262312;Journal of Corporate Real Estate;journal;ISSN 1463001, 14791048;0.242;Q3;19;19;70;388;13;70;0.16;20.42;United Kingdom;"Business, Management and Accounting (miscellaneous) (Q2); Finance (Q3)"
403;24200;Review of Black Political Economy;journal;ISSN 00346446;0.238;Q3;13;13;49;360;10;48;0.07;27.69;United States;"Cultural Studies (Q1); Economics and Econometrics (Q3)"
404;29534;Topics in Theoretical Economics;journal;ISSN 1534598X, 1534598;0.238;Q3;4;0;17;0;3;17;0.0;0.0;United States;Economics, Econometrics and Finance (miscellaneous) (Q3)
405;24350;Journal of Economic Education;journal;ISSN 00220485;0.234;Q3;41;42;123;608;43;119;0.32;14.48;United States;"Economics and Econometrics (Q3); Education (Q3)"
406;11800154594;AStA Advances in Statistical Analysis;journal;ISSN 18638171;0.232;Q3;19;0;61;0;18;61;0.3;0.0;Germany;"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Modeling and Simulation (Q3); Analysis (Q4); Applied Mathematics (Q4); Statistics and Probability (Q4)"
407;21081;Contributions to Political Economy;journal;ISSN 02775921;0.232;Q3;15;7;15;207;12;12;1.0;29.57;United Kingdom;"Economics and Econometrics (Q3); Sociology and Political Science (Q3)"
408;21100781411;Journal of Risk Finance;journal;ISSN 15265943, 09657967;0.229;Q3;24;36;92;755;27;92;0.38;20.97;United Kingdom;"Accounting (Q3); Finance (Q3)"
409;29554;Journal of Bioeconomics;journal;ISSN 13876996, 15736989;0.228;Q3;21;12;42;762;16;38;0.23;63.5;Netherlands;"Geography, Planning and Development (Q2); Economics and Econometrics (Q3)"
410;23052;Politicka Ekonomie;journal;ISSN 00323233, 23368225;0.227;Q3;14;45;139;1022;27;139;0.19;22.71;Czech Republic;"Economics and Econometrics (Q3); Sociology and Political Science (Q3)"
411;19980;Economic and Social Review;journal;ISSN 00129984;0.226;Q3;22;15;49;461;16;46;0.26;30.73;Ireland;"Economics and Econometrics (Q3); Sociology and Political Science (Q3)"
412;4000152130;Economists' Voice;journal;ISSN 15533832;0.226;Q3;13;26;56;147;19;39;0.49;5.65;Germany;"Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3)"
413;3900148213;International Journal of Entrepreneurship and Small Business;journal;ISSN 14761297, 17418054;0.225;Q3;23;47;107;2072;56;101;0.49;44.09;United Kingdom;"Business and International Management (Q2); Economics and Econometrics (Q3)"
414;29440;Review of Austrian Economics;journal;ISSN 08893047, 15737128;0.224;Q3;28;19;57;844;27;57;0.47;44.42;Netherlands;Economics, Econometrics and Finance (miscellaneous) (Q3)
415;17423;Geneva Papers on Risk and Insurance: Issues and Practice;journal;ISSN 14680440, 10185895;0.222;Q3;25;43;159;702;62;156;0.3;16.33;Germany;"Business, Management and Accounting (miscellaneous) (Q2); Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)"
416;28408;Australian Economic History Review;journal;ISSN 00048992, 14678446;0.221;Q3;13;16;11;668;4;11;0.36;41.75;United Kingdom;"History (Q1); Economics and Econometrics (Q3)"
417;16106;Foresight;journal;ISSN 14659832, 14636689;0.221;Q3;24;35;133;720;39;132;0.3;20.57;United Kingdom;"Business and International Management (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3)"
418;6100152805;International Journal of Green Economics;journal;ISSN 17449928, 17449936;0.219;Q3;11;20;12;598;18;11;1.64;29.9;United Kingdom;Economics, Econometrics and Finance (miscellaneous) (Q3)
419;16230;Global Finance Journal;journal;ISSN 10440283;0.219;Q3;26;21;62;738;24;61;0.43;35.14;Netherlands;"Economics and Econometrics (Q3); Finance (Q3)"
420;4700152413;International Journal of Entrepreneurship and Innovation Management;journal;ISSN 1368275, 17415098, 1368275X;0.217;Q3;19;31;119;1351;41;115;0.44;43.58;United Kingdom;"Business and International Management (Q2); Economics and Econometrics (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3)"
421;88147;Indian Journal of Labour Economics;journal;ISSN 09717927, 00195308;0.216;Q3;10;68;201;1209;28;200;0.17;17.78;Germany;Economics and Econometrics (Q3)
422;24257;Asian-Pacific Economic Literature;journal;ISSN 14678411, 08189935;0.215;Q3;18;6;21;452;14;21;0.4;75.33;United Kingdom;"Development (Q3); Economics and Econometrics (Q3); Geography, Planning and Development (Q3)"
423;4000151820;International Journal of Technology and Globalisation;journal;ISSN 17418194, 14765667;0.214;Q3;18;26;50;896;44;48;0.75;34.46;United Kingdom;"Political Science and International Relations (Q2); Economics and Econometrics (Q3); Management, Monitoring, Policy and Law (Q3)"
424;29339;International Journal on Hydropower and Dams;journal;ISSN 13522523;0.212;Q3;14;86;264;242;20;254;0.09;2.81;United Kingdom;"Energy Engineering and Power Technology (Q2); Civil and Structural Engineering (Q3); Economics and Econometrics (Q3); Mechanical Engineering (Q3)"
425;15493;Finance and Development;journal;ISSN 01451707, 15645142;0.21;Q3;28;56;163;136;97;130;0.68;2.43;United States;"Development (Q3); Finance (Q3); Geography, Planning and Development (Q3)"
426;6700153287;Economics Bulletin;journal;ISSN 15452921;0.209;Q3;23;335;463;4531;93;463;0.17;13.53;United States;Economics, Econometrics and Finance (miscellaneous) (Q3)
427;21100299417;Young Consumers;journal;ISSN 17473616, 17587212;0.207;Q3;19;40;121;773;20;121;0.17;19.33;United Kingdom;"Economics, Econometrics and Finance (miscellaneous) (Q3); Life-span and Life-course Studies (Q4)"
428;144968;Asia-Pacific Financial Markets;journal;ISSN 13872834;0.204;Q3;18;17;62;482;14;59;0.28;28.35;Netherlands;Finance (Q3)
429;21100777369;Managerial Finance;journal;ISSN 03074358, 17587743;0.202;Q3;31;64;189;1953;46;185;0.24;30.52;United Kingdom;"Business, Management and Accounting (miscellaneous) (Q2); Finance (Q3); Strategy and Management (Q3)"
430;24982;Singapore Economic Review;journal;ISSN 02175908;0.201;Q3;11;25;67;624;21;65;0.28;24.96;United States;Economics and Econometrics (Q3)
431;28509;European Journal of the History of Economic Thought;journal;ISSN 14695936, 09672567;0.201;Q3;15;25;82;1330;29;81;0.3;53.2;United Kingdom;"History and Philosophy of Science (Q2); Arts and Humanities (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3)"
432;145661;International Advances in Economic Research;journal;ISSN 1573966X, 10830898;0.201;Q3;20;67;116;867;17;116;0.09;12.94;United States;"Economics and Econometrics (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3)"
433;29258;Public Finance Review;journal;ISSN 10911421;0.2;Q3;26;35;93;850;27;91;0.18;24.29;United States;"Economics and Econometrics (Q3); Finance (Q3); Public Administration (Q3)"
434;18299;American Journal of Economics and Sociology;journal;ISSN 15367150, 00029246;0.199;Q4;31;53;164;1341;41;156;0.25;25.3;United Kingdom;"Sociology and Political Science (Q3); Economics and Econometrics (Q4)"
435;4100151503;Advances in Industrial and Labor Relations;book serie;ISSN 07426186;0.197;Q3;9;0;31;0;9;28;0.3;0.0;United Kingdom;"Political Science and International Relations (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Industrial Relations (Q3); Organizational Behavior and Human Resource Management (Q3)"
436;19800188055;Journal of Financial Crime;journal;ISSN 17587239, 13590790;0.197;Q3;15;34;109;649;26;109;0.2;19.09;United Kingdom;"Law (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3)"
437;27949;Zeitschrift für Wirtschaftsgeographie;journal;ISSN 00443751;0.196;Q4;14;15;51;786;13;50;0.29;52.4;Germany;"Geography, Planning and Development (Q3); Economics and Econometrics (Q4)"
438;53958;Agrekon;journal;ISSN 03031853, 20780400;0.194;Q4;19;29;87;728;13;87;0.21;25.1;United Kingdom;"Agronomy and Crop Science (Q3); Geography, Planning and Development (Q3); Economics and Econometrics (Q4)"
439;145660;Atlantic Economic Journal;journal;ISSN 01974254;0.193;Q3;19;46;106;787;18;89;0.2;17.11;Netherlands;Economics, Econometrics and Finance (miscellaneous) (Q3)
440;4700151728;Applied Financial Economics Letters;journal;ISSN 17446554, 17446546;0.193;Q3;11;73;73;1041;24;71;0.34;14.26;United Kingdom;"Finance (Q3); Economics and Econometrics (Q4)"
441;145054;International Economics and Economic Policy;journal;ISSN 16124804, 16124812;0.191;Q4;18;15;58;413;20;55;0.36;27.53;Germany;Economics and Econometrics (Q4)
442;23719;Reflets et Perspectives de la Vie Economique;journal;ISSN 00342971;0.191;Q3;7;38;95;737;9;92;0.12;19.39;Belgium;Economics, Econometrics and Finance (miscellaneous) (Q3)
443;23718;International Journal of the Economics of Business;journal;ISSN 13571516, 14661829;0.19;Q4;21;22;68;815;21;66;0.33;37.05;United Kingdom;"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q4)"
444;20126;Ekonomicky Casopis;journal;ISSN 00133035;0.188;Q4;14;59;218;1342;34;212;0.17;22.75;Slovakia;Economics and Econometrics (Q4)
445;17700155035;Journal of Emerging Market Finance;journal;ISSN 09726527;0.188;Q3;12;12;29;348;9;27;0.25;29.0;United Kingdom;"Finance (Q3); Economics and Econometrics (Q4)"
446;19700167301;Environmental Economics and Policy Studies;journal;ISSN 1432847X, 1432847;0.186;Q4;15;12;38;368;20;37;0.74;30.67;Germany;"Management, Monitoring, Policy and Law (Q3); Economics and Econometrics (Q4)"
447;23148;IMA Journal Management Mathematics;journal;ISSN 14716798, 1471678X, 1471678;0.186;Q3;27;26;83;637;39;79;0.37;24.5;United Kingdom;"Economics, Econometrics and Finance (miscellaneous) (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3); Applied Mathematics (Q4); Modeling and Simulation (Q4)"
448;86934;Economics of Planning;journal;ISSN 00130451;0.186;Q4;15;0;13;0;6;13;0.17;0.0;Netherlands;Economics and Econometrics (Q4)
449;5800207368;Revista de Economia Aplicada;journal;ISSN 1133455, 1133455X;0.186;Q3;9;17;17;714;5;17;0.29;42.0;Spain;Economics, Econometrics and Finance (miscellaneous) (Q3)
450;12100157208;Journal of Economics and Finance;journal;ISSN 19389744, 10550925;0.185;Q4;25;32;96;988;28;95;0.12;30.88;United States;"Economics and Econometrics (Q4); Finance (Q4)"
451;4700152811;CESifo Forum;journal;ISSN 2190717, 1615245X, 1615245;0.184;Q4;10;34;37;321;5;29;0.17;9.44;Germany;Economics and Econometrics (Q4)
452;14089;Developing Economies;journal;ISSN 00121533, 17461049;0.181;Q4;21;16;64;539;27;63;0.44;33.69;United States;"Development (Q3); Economics and Econometrics (Q4)"
453;22273;Peace Economics, Peace Science and Public Policy;journal;ISSN 10792457;0.18;Q4;12;4;22;99;4;20;0.17;24.75;Germany;"Management, Monitoring, Policy and Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3); Economics and Econometrics (Q4)"
454;1000147102;Journal of Business Economics and Management;journal;ISSN 16111699;0.179;Q4;27;33;78;573;10;77;0.11;17.36;Lithuania;"Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q4)"
