Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
22;19700200838;Chemical Science;journal;20416520, 20416539;3.895;Q1;190;979;2723;57959;25178;2719;9.46;59.2;United Kingdom;Western Europe;Royal Society of Chemistry;2010-2021;Chemistry (miscellaneous) (Q1)
23;29646;Progress in Surface Science;journal;00796816;3.641;-;82;10;35;924;320;35;9.1;92.4;United Kingdom;Western Europe;Elsevier Ltd.;1971-2021;"Condensed Matter Physics (Q1); Surfaces and Interfaces (Q1); Surfaces, Coatings and Films (Q1)"
24;19600166212;Journal of Physical Chemistry Letters;journal;19487185;3.618;Q1;220;1083;2619;49423;21130;2539;7.24;45.64;United States;Northern America;American Chemical Society;2010-2021;"Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Physical and Theoretical Chemistry (Q1)"
25;26371;Natural Product Reports;journal;02650568, 14604752;3.552;Q1;188;65;214;9801;2301;208;10.66;150.78;United Kingdom;Western Europe;Royal Society of Chemistry;1984-2021;"Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1)"
26;3200147828;Small;journal;16136829, 16136810;3.549;Q1;259;1036;2131;63029;21954;2086;10.27;60.84;Germany;Western Europe;Wiley-VCH Verlag;2005-2021;"Biomaterials (Q1); Biotechnology (Q1); Chemistry (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
27;17399;Current Opinion in Chemical Biology;journal;13675931, 18790402;3.421;Q1;190;131;335;7522;2513;306;7.27;57.42;United Kingdom;Western Europe;Elsevier Ltd.;1997-2021;"Analytical Chemistry (Q1); Biochemistry (Q1)"
28;21100232403;Journal of Materials Chemistry A;journal;20507496, 20507488;3.372;Q1;240;2480;7533;143147;83020;7527;10.82;57.72;United Kingdom;Western Europe;Royal Society of Chemistry;2013-2021;"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
29;26927;International Reviews in Physical Chemistry;journal;0144235X, 1366591X;3.338;Q1;87;11;43;2334;422;43;9.93;212.18;United Kingdom;Western Europe;Taylor and Francis Ltd.;1981-1983, 1985-2021;Physical and Theoretical Chemistry (Q1)
30;21100404576;2D Materials;journal;20531583;3.142;Q1;77;189;598;10420;4160;598;7.11;55.13;United Kingdom;Western Europe;IOP Publishing Ltd.;2014-2021;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
31;21100200203;Wiley Interdisciplinary Reviews: Computational Molecular Science;journal;17590876, 17590884;3.025;Q1;86;37;100;5538;892;96;7.76;149.68;United States;Northern America;"John Wiley &amp; Sons Inc.";2011-2021;"Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
