Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
93;98352;Praktische Tierarzt;journal;0032681X;0.24;Q3;15;108;232;1696;63;232;0.26;15.7;Germany;Schluetersche GmbH und Co.;1976, 1980, 1996-ongoing;Veterinary (miscellaneous) (Q3)
94;19498;Veterinary Anaesthesia and Analgesia;journal;14672995, 14672987;0.24;Q3;47;26;48;668;19;46;0.27;25.69;United Kingdom;Elsevier Ltd.;1970-1974, 1976-1978, 1980, 1982-1986, 1988-1995, 2003-ongoing;Veterinary (miscellaneous) (Q3)
95;74199;Deutsche tierarztliche Wochenschrift;journal;03416593;0.236;Q3;24;90;290;2231;112;289;0.41;24.79;Germany;Verlag M Und H Schaper;1965, 1971-2009;Veterinary (miscellaneous) (Q3)
96;36020;Society and Animals;journal;15685306, 10631119;0.23;Q3;34;40;53;709;17;52;0.23;17.73;Netherlands;Brill;1993-ongoing;"Sociology and Political Science (Q3); Veterinary (miscellaneous) (Q3)"
97;97492;Archiv für Tierzucht/Archives Animal Breeding;journal;00039438;0.228;Q4;7;0;0;0;0;0;0;0;Germany;Copernicus GmbH;1996-ongoing;"Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3); Plant Science (Q3); Food Animals (Q4); Genetics (Q4)"
98;17063;Acta Veterinaria Hungarica;journal;02366290;0.227;Q3;30;49;153;1143;73;153;0.32;23.33;Hungary;Akademiai Kiado;1983-ongoing;Veterinary (miscellaneous) (Q3)
99;18865;Revue de Medecine Veterinaire;journal;00351555;0.226;Q3;30;90;269;2033;75;269;0.3;22.59;France;Ecole Nationale Veterinaire De Toulouse;1949, 1961, 1973-1989, 1996-ongoing;Veterinary (miscellaneous) (Q3)
100;61695;Journal of the South African Veterinary Association;journal;10199128, 22249435;0.225;Q3;28;51;150;943;51;139;0.37;18.49;South Africa;OpenJournals Publishing AOSIS (Pty) Ltd;1961, 1971-ongoing;"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q3)"
101;17062;Acta Veterinaria Brno;journal;18017576, 00017213;0.223;Q3;35;75;132;1788;59;132;0.43;23.84;Czech Republic;University of Veterinary and Pharmaceutical Sciences;1993, 1996-ongoing;Veterinary (miscellaneous) (Q3)
102;89762;Turkish Journal of Veterinary and Animal Sciences;journal;13036181, 13000128;0.22;Q3;31;223;430;5383;65;430;0.15;24.14;Turkey;Scientific and Technical research Council of Turkey - TUBITAK/Turkiye Bilimsel ve Teknik Arastirma Kurumu;1996-ongoing;Veterinary (miscellaneous) (Q3)
103;18910;Tierarztliche Umschau;journal;00493864;0.219;Q3;11;90;206;1234;49;206;0.25;13.71;Germany;Terra Verlag GmbH;1948, 1961, 1974-1977, 1996-ongoing;Veterinary (miscellaneous) (Q3)
104;17657;Archives of Animal Nutrition;journal;14772817, 1745039X;0.216;Q3;36;0;0;0;0;0;0;0;United Kingdom;Taylor & Francis;1951-1952, 1955, 1962, 1972-ongoing;"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q3); Animal Science and Zoology (Q4)"
105;18247;Indian Journal of Animal Sciences;journal;03678318;0.215;Q3;20;361;1104;4695;85;1104;0.09;13.01;India;Scientific Publishers;1971-1978, 1980-1985, 1987-1988, 1996-ongoing;"Veterinary (miscellaneous) (Q3); Animal Science and Zoology (Q4)"
106;27281;Scandinavian Journal of Laboratory Animal Science;journal;09013393, 20020112;0.214;Q3;17;17;42;276;24;42;0.46;16.24;Denmark;Scandinavian Federation for Laboratory Animal Science;1996-2012, 2014-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Veterinary (miscellaneous) (Q3); Animal Science and Zoology (Q4)"
107;17672;Arquivo Brasileiro de Medicina Veterinaria e Zootecnia;journal;01020935;0.211;Q3;29;112;340;1918;41;340;0.11;17.13;Brazil;Universidade Federal de Minas Gerais;1996-ongoing;Veterinary (miscellaneous) (Q3)
108;18253;Indian Veterinary Journal;journal;00196479;0.205;Q3;14;407;1121;3076;87;1121;0.06;7.56;India;Indian Veterinary Association;1945-1951, 1965-1971, 1973-1979, 1996-ongoing;Veterinary (miscellaneous) (Q3)
109;18283;Japanese Journal of Veterinary Research;journal;00471917;0.201;Q3;20;11;31;314;19;31;0.58;28.55;Japan;Hokkaido University;1965-ongoing;Veterinary (miscellaneous) (Q3)
