Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2006);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;19555;Veterinary Research;journal;09284249, 12979716;1,353;Q1;93;58;172;3621;545;168;3,28;62,43;United Kingdom;BioMed Central;1993-2016 (cancelled);Veterinary (miscellaneous) (Q1)
2;21376;Vaccine;journal;0264410X, 13588745;1,328;Q1;164;948;1960;31269;6686;1880;3,45;32,98;Netherlands;Elsevier BV;1983-ongoing;"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q2); Molecular Medicine (Q2)"
3;17777;Equine Veterinary Journal;journal;04251644;1,196;Q1;79;222;403;5901;885;354;2,19;26,58;United States;Wiley-Blackwell;1968-ongoing;"Equine (Q1); Medicine (miscellaneous) (Q1)"
4;21288;Acta Tropica;journal;0001706X;1,162;Q1;89;159;442;4762;1192;430;2,30;29,95;Netherlands;Elsevier BV;1947-1949, 1951-ongoing;"Insect Science (Q1); Parasitology (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2)"
5;20491;Journal of Medical Entomology;journal;00222585;1,145;Q1;87;182;480;5936;1023;475;2,06;32,62;United States;Oxford University Press;1964-ongoing;"Insect Science (Q1); Parasitology (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2)"
6;17778;Medical and Veterinary Entomology;journal;0269283X, 13652915;1,120;Q1;74;56;188;1785;420;185;2,19;31,88;United Kingdom;Blackwell Publishing Inc.;1987-ongoing;"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1); Veterinary (miscellaneous) (Q1); Parasitology (Q2)"
7;18316;Journal of Veterinary Internal Medicine;journal;08916640;1,111;Q1;92;202;421;5883;768;390;1,87;29,12;United States;Wiley-Blackwell;1987-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
8;17689;Avian Pathology;journal;03079457, 14653338;1,107;Q1;71;71;230;2038;460;224;1,98;28,70;United Kingdom;Taylor & Francis;1972-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
9;19574;Veterinary Surgery;journal;1532950X, 01613499;1,105;Q1;71;127;267;3052;390;261;1,29;24,03;United States;Wiley-Blackwell;1972-ongoing;Veterinary (miscellaneous) (Q1)
10;18838;Preventive Veterinary Medicine;journal;01675877;1,060;Q1;84;115;346;3030;559;337;1,50;26,35;Netherlands;Elsevier BV;1982-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1)"
11;13527;Journal of Fish Diseases;journal;13652761, 01407775;1,036;Q1;75;72;256;1959;515;250;1,76;27,21;United Kingdom;Blackwell Publishing Inc.;1978-ongoing;"Aquatic Science (Q1); Veterinary (miscellaneous) (Q1)"
12;20882;Veterinary Microbiology;journal;03781135;1,030;Q1;114;273;662;8314;1467;641;2,13;30,45;Netherlands;Elsevier BV;1976-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Microbiology (Q2)"
13;17687;Avian Diseases;journal;00052086;1,005;Q1;72;115;443;3168;738;440;1,44;27,55;United States;American Association of Avian Pathologists Inc.;1963, 1965-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
14;3300147807;Livestock Science;journal;18711413;0,957;Q1;99;215;514;6523;769;509;1,22;30,34;Netherlands;Elsevier BV;2006-ongoing;"Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1)"
15;19537;Veterinary Parasitology;journal;03044017;0,932;Q1;109;377;845;11813;1757;831;1,98;31,33;Netherlands;Elsevier BV;1975-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Parasitology (Q2)"
16;18297;Journal of Feline Medicine and Surgery;journal;1098612X;0,905;Q1;52;48;159;1309;234;150;1,38;27,27;United Kingdom;SAGE Publications Inc.;1999-ongoing;Small Animals (Q1)
17;19518;Veterinary Dermatology;journal;09594493, 13653164;0,904;Q1;54;59;154;2058;244;139;1,41;34,88;United Kingdom;Blackwell Publishing Inc.;1990-ongoing;Veterinary (miscellaneous) (Q1)
18;18903;Theriogenology;journal;0093691X;0,862;Q1;118;395;938;14702;1966;930;1,86;37,22;Netherlands;Elsevier BV;1974-ongoing;"Animal Science and Zoology (Q1); Equine (Q1); Food Animals (Q1); Small Animals (Q1)"
19;17121;American Journal of Veterinary Research;journal;00029645;0,832;Q1;82;287;813;9611;1135;765;1,33;33,49;United States;American Veterinary Medical Association;1945-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
20;19551;Veterinary Radiology and Ultrasound;journal;17408261, 10588183;0,831;Q1;54;77;298;1662;300;291;0,88;21,58;United Kingdom;Blackwell Publishing Inc.;1961-ongoing;Veterinary (miscellaneous) (Q1)
21;19516;Veterinary Clinics of North America - Small Animal Practice;journal;01955616;0,817;Q1;61;63;231;2659;356;211;1,21;42,21;United Kingdom;W. B. Saunders Co., Ltd.;1978-ongoing;Small Animals (Q1)
22;19660;Comparative Immunology, Microbiology and Infectious Diseases;journal;01479571;0,801;Q1;48;28;110;1132;210;103;2,16;40,43;United Kingdom;Elsevier Ltd.;1978-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Immunology and Allergy (Q2); Infectious Diseases (Q2); Immunology (Q3); Microbiology (Q3)"
