Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2008);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21206;Nature;journal;14764687, 00280836;13.17;Q1;1159;2476;7904;35880;94831;5311;17.79;14.49;United Kingdom;Western Europe;Nature Publishing Group;1869-2020;Multidisciplinary (Q1)
2;23571;Science;journal;10959203, 00368075;11.277;Q1;1124;2365;7147;33575;81432;4914;15.63;14.2;United States;Northern America;American Association for the Advancement of Science;1880-1881, 1883-2020;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
3;21121;Proceedings of the National Academy of Sciences of the United States of America;journal;10916490, 00278424;7.034;Q1;737;3913;10855;138933;106593;9848;10.29;35.51;United States;Northern America;National Academy of Sciences;1945-1951, 1961-2020;Multidisciplinary (Q1)
4;10600153309;PLoS ONE;journal;19326203;2.506;-;300;2717;1372;124310;5384;1372;3.92;45.75;United States;Northern America;Public Library of Science;2001, 2006-2020;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
5;23697;Science Progress;journal;20477163, 00368504;1.003;Q1;33;17;27;876;61;26;2.39;51.53;United Kingdom;Western Europe;Science Reviews Ltd;1946-1949, 1955, 1957, 1960-1963, 1965-1972, 1974-1993, 1995-2020;Multidisciplinary (Q1)
6;12337;International Journal of Bifurcation and Chaos in Applied Sciences and Engineering;journal;17936551, 02181274;0.845;Q1;95;262;803;6605;976;798;0.99;25.21;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1996-2020;"Engineering (miscellaneous) (Q1); Modeling and Simulation (Q1); Multidisciplinary (Q1); Applied Mathematics (Q2)"
7;23030;Journal of the Royal Society of New Zealand;journal;03036758;0.478;Q1;37;18;45;678;55;43;1.13;37.67;United Kingdom;Western Europe;Taylor and Francis Ltd.;1971-2020;Multidisciplinary (Q1)
8;24197;Scientific American;journal;00368733;0.439;Q1;88;324;986;88;651;606;1.18;0.27;United States;Northern America;Scientific American Inc.;1947-1950, 1958-2018;Multidisciplinary (Q1)
9;27733;Latin American Research Review;journal;00238791, 15424278;0.437;-;45;28;64;1285;60;57;0.82;45.89;United States;Northern America;Latin American Studies Association;1970, 1978-2020;"Geography, Planning and Development (Q1); Sociology and Political Science (Q2)"
10;22251;Pacific Science;journal;15346188, 00308870;0.415;Q1;40;50;128;1595;117;126;1.05;31.9;United States;Northern America;University of Hawaii Press;1979-2019;Multidisciplinary (Q1)
11;23716;Science, Technology and Society;journal;09730796, 09717218;0.401;Q1;20;14;23;570;15;21;0.71;40.71;India;Asiatic Region;Sage Publications India Pvt. Ltd;1996-2020;Multidisciplinary (Q1)
