Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;23340;Chemical Reviews;journal;15206890, 00092665;11.912;Q1;609;156;393;43603;9111;384;22.07;279.51;United States;American Chemical Society;1924-ongoing;Chemistry (miscellaneous) (Q1)
2;22657;Accounts of Chemical Research;journal;00014842, 15204898;8.371;Q1;354;127;330;6682;4842;315;16.24;52.61;United States;American Chemical Society;1968-ongoing;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
3;26556;Catalysis Reviews - Science and Engineering;journal;01614940;6.955;Q1;93;13;35;2946;302;31;6.42;226.62;United States;Marcel Dekker Inc.;1979-1980, 1988, 1990-ongoing;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
4;25781;Aldrichimica Acta;journal;00025100;6.008;Q1;57;9;20;486;178;20;6.47;54;United States;Aldrich Chemical Co.;1990-ongoing;Organic Chemistry (Q1)
5;26555;Annual Review of Physical Chemistry;book series;0066426X, 15451593;5.783;Q1;151;19;71;2452;699;71;10.51;129.05;United States;Annual Reviews Inc.;1975, 1983, 1985, 1988-ongoing;Physical and Theoretical Chemistry (Q1)
6;23350;Chemical Society Reviews;journal;03060012, 14604744;5.438;Q1;432;35;119;1601;1107;118;8.11;45.74;United Kingdom;Royal Society of Chemistry;1972-ongoing;Chemistry (miscellaneous) (Q1)
7;26465;Progress in Polymer Science;journal;00796700;4.289;Q1;244;47;106;7039;730;103;7.66;149.77;Netherlands;Elsevier BV;1967, 1970-1971, 1975, 1977-1978, 1980-1986, 1988-ongoing;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
8;18663;Organic Electronics: physics, materials, applications;journal;15661199;4.107;Q1;91;18;23;408;111;23;4.83;22.67;Netherlands;Elsevier BV;2000-ongoing;"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1)"
9;26532;Advances in Catalysis;book series;03600564;3.976;Q1;48;5;24;1329;176;21;11;265.8;United States;Elsevier Inc.;1948, 1950-1960, 1962-1963, 1965-1970, 1972-1973, 1975-1977, 1979-1983, 1985-1987, 1989-1990, 1992-1994, 1996, 1998-2002, 2004, 2006-2007, 2009-ongoing;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
10;25760;Advances in Organometallic Chemistry;book series;00653055;3.756;Q1;48;0;21;0;135;21;6;0;United States;Elsevier Inc.;1964-1977, 1979-1987, 1989-1993, 1995-2001, 2003-2008, 2010-ongoing;Organic Chemistry (Q1)
11;22687;Angewandte Chemie - International Edition;journal;14337851, 15213773;3.744;Q1;482;1066;2966;41939;17982;2918;5.92;39.34;United Kingdom;John Wiley & Sons Ltd.;1962-ongoing;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
12;31446;Catalysis reviews;journal;03602451;3.706;Q1;0;0;0;0;0;0;0;0;United States;Dekker;1980-1991;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
13;22680;Journal of the American Chemical Society;journal;15205126, 00027863;3.587;Q1;542;2712;6829;114818;44098;4134;11.34;42.34;United States;American Chemical Society;1879-ongoing;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
14;26960;Advances in Chemical Physics;book series;00652385;3.576;Q1;75;59;98;5897;545;98;5.21;99.95;United States;John Wiley & Sons Inc.;1996-2014;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Bioengineering (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
15;27035;Progress in Solid State Chemistry;journal;00796786;3.282;Q1;44;3;7;183;34;7;7.5;61;United Kingdom;Elsevier Ltd.;1964-1965, 1967, 1971-1973, 1975-1976, 1978-1991, 1993, 1995-ongoing;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)"
16;17399;Current Opinion in Chemical Biology;journal;13675931;3.229;Q1;170;117;310;5724;2214;291;7.16;48.92;Netherlands;Elsevier BV;1997-ongoing;"Analytical Chemistry (Q1); Biochemistry (Q1)"
17;23470;Coordination Chemistry Reviews;journal;00108545;3.064;Q1;254;160;527;18132;3086;509;5.91;113.33;Netherlands;Elsevier BV;1966-ongoing;Chemistry (miscellaneous) (Q1)
18;12229;Mass Spectrometry Reviews;journal;10982787, 02777037;2.946;Q1;116;21;44;2115;379;44;6.91;100.71;United States;John Wiley & Sons Inc.;1982-ongoing;"Analytical Chemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Condensed Matter Physics (Q1); Spectroscopy (Q1)"
19;26371;Natural Product Reports;journal;02650568, 14604752;2.877;Q1;157;43;115;7090;632;114;5.82;164.88;United Kingdom;Royal Society of Chemistry;1984-ongoing;"Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1)"
20;21100779404;Macromolecules;journal;00249297, 15205835;2.8;Q1;288;1400;4011;50140;15474;3894;3.84;35.81;United States;American Chemical Society;1968-ongoing;"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)"
21;26396;Organic Letters;journal;15237052, 15237060;2.795;Q1;220;1182;2727;35860;10721;2727;3.91;30.34;United States;American Chemical Society;1999-ongoing;"Biochemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
22;26968;Journal of Photochemistry and Photobiology C: Photochemistry Reviews;journal;13895567;2.778;Q1;80;8;18;971;114;18;6.33;121.38;Netherlands;Elsevier BV;2000-ongoing;"Catalysis (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
23;24085;Progress in Nuclear Magnetic Resonance Spectroscopy;journal;00796565;2.766;Q1;93;18;42;2923;291;42;5.35;162.39;Netherlands;Elsevier BV;1965-1967, 1969-1973, 1975-1982, 1984-ongoing;"Analytical Chemistry (Q1); Biochemistry (Q1); Materials Science (miscellaneous) (Q1); Nuclear and High Energy Physics (Q1); Spectroscopy (Q1)"
24;25762;Advances in Polymer Science;journal;00653195;2.666;Q1;105;18;61;2910;253;61;4.17;161.67;Germany;Springer Verlag;1958-1961, 1963-1964, 1969, 1976-1982, 1986-1987, 1990-ongoing;"Chemical Engineering (miscellaneous) (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)"
25;26927;International Reviews in Physical Chemistry;journal;0144235X, 1366591X;2.661;Q1;74;17;52;2420;228;52;4.68;142.35;United Kingdom;Taylor & Francis;1981-1983, 1985-ongoing;Physical and Theoretical Chemistry (Q1)
26;23392;Chemistry - A European Journal;journal;15213765, 09476539;2.58;Q1;220;626;1461;34676;6452;1441;4.36;55.39;United Kingdom;John Wiley & Sons Ltd.;1995-ongoing;Chemistry (miscellaneous) (Q1)
27;12878;Chemistry of Materials;journal;15205002, 08974756;2.514;Q1;337;752;1779;27027;7712;1758;4.29;35.94;United States;American Chemical Society;1989-ongoing;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1)"
28;26947;Journal of Catalysis;journal;10902694, 00219517;2.435;Q1;218;390;1129;14507;3863;1126;3.13;37.2;United States;Elsevier Inc.;1962-ongoing;"Catalysis (Q1); Physical and Theoretical Chemistry (Q1)"
29;17853;Nano Letters;journal;15306992, 15306984;2.42;Q1;430;293;152;7622;756;152;4.97;26.01;United States;American Chemical Society;2001-ongoing;"Bioengineering (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Nanoscience and Nanotechnology (Q1)"
30;15176;Journal of Pulp and Paper Science;journal;08266220;2.392;Q1;45;71;226;1381;293;225;1.11;19.45;Canada;Pulp and Paper Technical Association of Canada/Association Technique des Pates et Papiers du Canada;1983-2009;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Media Technology (Q1)"
31;26554;Advances in Physical Organic Chemistry;book series;00653160;2.366;Q1;28;6;21;918;88;17;4.33;153;United States;Elsevier Inc.;1963-1971, 1973, 1975-1978, 1981-1985, 1987-1989, 1991, 1993-1995, 1999-2007, 2009-ongoing;"Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
32;21537;Environmental Science & Technology;journal;0013936X, 15205851;2.357;Q1;345;948;2611;28636;8910;2353;3.6;30.21;United States;American Chemical Society;1958, 1967-ongoing;"Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Medicine (miscellaneous) (Q1)"
33;28134;Journal of Chemical Physics;journal;10897690, 00219606;2.35;Q1;314;2520;7592;101387;24722;7535;3.2;40.23;United States;American Institute of Physics;1933-ongoing;"Medicine (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1)"
34;25896;Journal of Organic Chemistry;journal;15206904, 00223263;2.318;Q1;210;1460;4453;63205;14948;4156;3.6;43.29;United States;American Chemical Society;1936-ongoing;Organic Chemistry (Q1)
35;23915;Analytical Chemistry;journal;15206882, 00032700;2.282;Q1;305;966;2930;33359;14187;2765;5.22;34.53;United States;American Chemical Society;1947-ongoing;Analytical Chemistry (Q1)
36;23522;Electrochemical and Solid-State Letters;journal;10990062;2.259;Q1;132;200;564;3134;1537;560;2.68;15.67;United States;Electrochemical Society, Inc.;1998-2012;"Chemical Engineering (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electrochemistry (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)"
37;26970;Journal of Physical Chemistry B;journal;15205207, 15206106;2.201;Q1;363;1854;4830;77408;18202;4797;3.65;41.75;United States;American Chemical Society;1997-ongoing;"Materials Chemistry (Q1); Medicine (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
38;12202;Intermetallics;journal;09669795;2.194;Q1;99;148;465;3680;769;462;1.46;24.86;Netherlands;Elsevier BV;1993-ongoing;"Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Metals and Alloys (Q1)"
39;30867;TrAC - Trends in Analytical Chemistry;journal;01659936;2.166;Q1;142;91;221;3489;942;220;4.24;38.34;Netherlands;Elsevier BV;1981-ongoing;"Analytical Chemistry (Q1); Environmental Chemistry (Q1); Spectroscopy (Q1)"
40;19700186746;ACS Combinatorial Science;journal;21568952, 21568944;2.161;Q1;78;84;224;2722;1028;224;4.42;32.4;United States;American Chemical Society;2011-ongoing;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
41;24644;Journal of Physical and Chemical Reference Data;journal;15297845, 00472689;2.156;Q1;85;17;55;3324;272;55;3.71;195.53;United States;American Institute of Physics Inc.;1976-1979, 1996-ongoing;"Chemistry (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1)"
42;22781;Chemical Communications;journal;13597345;2.13;Q1;297;1497;3697;29813;13768;3604;3.89;19.92;United Kingdom;Royal Society of Chemistry;1996-ongoing;"Catalysis (Q1); Ceramics and Composites (Q1); Chemistry (miscellaneous) (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1); Surfaces, Coatings and Films (Q1)"
43;25169;Journal of the Electrochemical Society;journal;00134651;2.127;Q1;245;733;2259;19952;5567;2259;2.32;27.22;United States;Electrochemical Society, Inc.;1969-1970, 1972-ongoing;"Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1); Surfaces, Coatings and Films (Q1)"
44;25143;Advanced Functional Materials;journal;1616301X;2.122;Q1;269;109;131;3987;448;130;4.28;36.58;United Kingdom;John Wiley & Sons Ltd.;2000-ongoing;"Biomaterials (Q1); Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1)"
