Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2006);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;23571;Science;journal;10959203, 00368075;10.542;Q1;1124;2341;7342;32741;86869;4794;17.68;13.99;United States;Northern America;American Association for the Advancement of Science;1880-1881, 1883-2020;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
2;21206;Nature;journal;14764687, 00280836;9.702;Q1;1159;2590;7961;34966;89788;5437;15.7;13.5;United Kingdom;Western Europe;Nature Publishing Group;1869-2020;Multidisciplinary (Q1)
3;21121;Proceedings of the National Academy of Sciences of the United States of America;journal;10916490, 00278424;6.849;Q1;737;3632;9710;132552;102720;9005;10.68;36.5;United States;Northern America;National Academy of Sciences;1945-1951, 1961-2020;Multidisciplinary (Q1)
4;27733;Latin American Research Review;journal;00238791, 15424278;0.876;-;45;21;87;1362;94;83;0.9;64.86;United States;Northern America;Latin American Studies Association;1970, 1978-2020;"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
5;12337;International Journal of Bifurcation and Chaos in Applied Sciences and Engineering;journal;17936551, 02181274;0.622;Q1;95;252;821;6421;981;810;1.13;25.48;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1996-2020;"Engineering (miscellaneous) (Q1); Multidisciplinary (Q1); Applied Mathematics (Q2); Modeling and Simulation (Q2)"
6;22251;Pacific Science;journal;15346188, 00308870;0.522;Q1;40;38;115;1427;105;114;0.94;37.55;United States;Northern America;University of Hawaii Press;1979-2019;Multidisciplinary (Q1)
7;23030;Journal of the Royal Society of New Zealand;journal;03036758;0.518;Q1;37;14;78;902;68;77;1.09;64.43;United Kingdom;Western Europe;Taylor and Francis Ltd.;1971-2020;Multidisciplinary (Q1)
8;23697;Science Progress;journal;20477163, 00368504;0.515;Q1;33;3;34;249;51;34;0.85;83;United Kingdom;Western Europe;Science Reviews Ltd;1946-1949, 1955, 1957, 1960-1963, 1965-1972, 1974-1993, 1995-2020;Multidisciplinary (Q1)
9;25823;Complexity;journal;10762787, 10990526;0.391;Q1;52;36;120;838;112;107;1;23.28;Egypt;Africa/Middle East;Hindawi Limited;1995-2020;Multidisciplinary (Q1)
10;21100405003;Science Bulletin;journal;20959273, 20959281;0.37;Q1;101;471;1518;12515;1305;1515;0.78;26.57;Netherlands;Western Europe;Elsevier BV;2015-2020;Multidisciplinary (Q1)
11;28472;Fractals;journal;17936543, 0218348X;0.365;Q1;39;35;142;776;101;139;0.76;22.17;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1995-2020;"Multidisciplinary (Q1); Applied Mathematics (Q3); Modeling and Simulation (Q3); Geometry and Topology (Q4)"
