Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21206;Nature;journal;14764687, 00280836;18.389;Q1;1159;3268;7831;46634;116880;4275;26.46;14,27;United Kingdom;Western Europe;Nature Publishing Group;1869-2020;Multidisciplinary (Q1)
2;23571;Science;journal;10959203, 00368075;13.745;Q1;1124;1986;6277;37262;104049;4639;21.81;18,76;United States;Northern America;American Association for the Advancement of Science;1880-1881, 1883-2020;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
3;21121;Proceedings of the National Academy of Sciences of the United States of America;journal;10916490, 00278424;6.576;Q1;737;3817;12757;166213;118334;10770;10.47;43,55;United States;Northern America;National Academy of Sciences;1945-1951, 1961-2020;Multidisciplinary (Q1)
4;21100457028;Science advances;journal;23752548;4.800;-;102;502;266;26147;2656;264;10.06;52,09;United States;Northern America;American Association for the Advancement of Science;2015-2020;Medicine (miscellaneous) (Q1)
5;21100200805;Scientific Reports;journal;20452322;1.692;Q1;179;21049;17517;948560;87276;16740;4.74;45,06;United Kingdom;Western Europe;Nature Publishing Group;2011-2020;Multidisciplinary (Q1)
6;21100409368;National Science Review;journal;20955138, 2053714X;1.600;Q1;39;51;165;2212;518;89;5.82;43,37;United Kingdom;Western Europe;Oxford University Press;2014-2020;Multidisciplinary (Q1)
7;10600153309;PLoS ONE;journal;19326203;1.236;-;300;22985;93862;1011914;313690;88307;3.18;44,02;United States;Northern America;Public Library of Science;2001, 2006-2020;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
8;21100446014;Royal Society Open Science;journal;20545703;1.003;Q1;37;427;303;23121;756;297;2.55;54,15;United Kingdom;Western Europe;The Royal Society;2014-2020;Multidisciplinary (Q1)
9;23100;Proceedings of the Japan Academy Series B: Physical and Biological Sciences;journal;13492896, 03862208;0.964;Q1;50;34;101;2346;289;100;2.74;69,00;Japan;Asiatic Region;Japan Academy;1977-2020;"Agricultural and Biological Sciences (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Multidisciplinary (Q1); Physics and Astronomy (miscellaneous) (Q1)"
10;25823;Complexity;journal;10762787, 10990526;0.635;Q1;52;201;170;7095;568;161;3.68;35,30;Egypt;Africa/Middle East;Hindawi Limited;1995-2020;Multidisciplinary (Q1)
11;22367;Progress in Natural Science: Materials International;journal;10020071;0.630;Q1;54;99;269;3511;699;266;2.33;35,46;Japan;Asiatic Region;Elsevier BV;1996-2020;"Multidisciplinary (Q1); Materials Science (miscellaneous) (Q2)"
12;21100247071;Science and Technology Studies;journal;22434690;0.615;-;12;15;49;983;57;46;0.83;65,53;Finland;Western Europe;The Finnish Society for Science and Technology Studies;2012-2019;History and Philosophy of Science (Q1)
13;19700168304;Journal of Advanced Research;journal;20901232;0.605;Q1;45;103;254;3873;875;248;3.79;37,60;Egypt;Africa/Middle East;Cairo University;2010-2020;Multidisciplinary (Q1)
14;12337;International Journal of Bifurcation and Chaos in Applied Sciences and Engineering;journal;17936551, 02181274;0.587;Q1;95;284;738;8616;1178;735;1.48;30,34;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1996-2020;"Engineering (miscellaneous) (Q1); Multidisciplinary (Q1); Applied Mathematics (Q2); Modeling and Simulation (Q2)"
15;86891;Journal of King Saud University - Science;journal;10183647;0.571;Q1;32;61;134;1879;425;133;3.31;30,80;Saudi Arabia;Middle East;King Saud University;1994, 2009-2020;Multidisciplinary (Q1)
16;4400151506;Eurasip Journal on Bioinformatics and Systems Biology;journal;16874153, 16874145;0.560;Q1;19;23;41;729;46;41;1.11;31,70;Germany;Western Europe;Springer Open;2006-2017;"Computer Science (miscellaneous) (Q1); Multidisciplinary (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Computational Mathematics (Q2); Computer Science Applications (Q2); Medicine (miscellaneous) (Q2); Signal Processing (Q2); Statistics and Probability (Q3)"
17;21100405003;Science Bulletin;journal;20959273, 20959281;0.526;Q1;101;259;1543;9722;3290;1459;2.16;37,54;Netherlands;Western Europe;Elsevier BV;2015-2020;Multidisciplinary (Q1)
18;19700200807;Research in Science and Technological Education;journal;14701138, 02635143;0.511;Q1;31;21;54;910;60;54;1.00;43,33;United Kingdom;Western Europe;Taylor and Francis Ltd.;1983-2020;"Multidisciplinary (Q1); Education (Q2)"
19;19700201672;Journal of the Association of Arab Universities for Basic and Applied Sciences;journal;18153852;0.462;Q1;0;0;0;0;0;0;0.00;0,00;Bahrain;Middle East;Taylor and Francis Ltd.;2010-2017;"Multidisciplinary (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Energy (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2); Materials Science (miscellaneous) (Q2); Mathematics (miscellaneous) (Q2)"
20;28472;Fractals;journal;17936543, 0218348X;0.459;Q1;39;56;114;1789;177;114;1.57;31,95;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1995-2020;"Multidisciplinary (Q1); Modeling and Simulation (Q2); Applied Mathematics (Q3); Geometry and Topology (Q3)"
21;21100228569;SpringerPlus;journal;21931801;0.447;Q1;41;2119;2396;71734;3557;2367;1.32;33,85;Germany;Western Europe;Springer Science and Business Media Deutschland GmbH;2012-2017;Multidisciplinary (Q1)
22;22251;Pacific Science;journal;15346188, 00308870;0.428;Q1;40;36;125;1724;128;124;0.99;47,89;United States;Northern America;University of Hawaii Press;1979-2019;Multidisciplinary (Q1)
23;23716;Science, Technology and Society;journal;09730796, 09717218;0.427;Q1;20;23;61;1151;78;59;1.57;50,04;India;Asiatic Region;Sage Publications India Pvt. Ltd;1996-2020;Multidisciplinary (Q1)
24;27733;Latin American Research Review;journal;00238791, 15424278;0.426;-;45;49;148;2514;87;133;0.48;51,31;United States;Northern America;Latin American Studies Association;1970, 1978-2020;"Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
25;18659;Anais da Academia Brasileira de Ciencias;journal;00013765, 16782690;0.399;Q1;54;205;513;8741;586;501;1.03;42,64;Brazil;Latin America;Academia Brasileira de Ciencias;1945-1946, 1949, 1970-1992, 1994-2020;Multidisciplinary (Q1)
26;23030;Journal of the Royal Society of New Zealand;journal;03036758;0.378;Q1;37;14;55;865;54;49;1.28;61,79;United Kingdom;Western Europe;Taylor and Francis Ltd.;1971-2020;Multidisciplinary (Q1)
27;6500153124;Theology and Science;journal;14746719, 14746700;0.364;Q1;12;40;89;1015;30;79;0.27;25,38;United Kingdom;Western Europe;Routledge;2003-2020;"Multidisciplinary (Q1); Religious Studies (Q1); History and Philosophy of Science (Q2)"
28;25522;Tsinghua Science and Technology;journal;10070214;0.361;Q1;40;62;193;1568;377;190;1.89;25,29;China;Asiatic Region;Tsing Hua University;2003-2020;Multidisciplinary (Q1)
29;23516;Journal of the Royal Society of Western Australia;journal;0035922X;0.329;Q1;26;0;48;0;26;46;0.59;0,00;Australia;Pacific Region;Royal Society of Western Australia Inc.;1981, 1983-2019;Multidisciplinary (Q1)
30;26207;Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University;journal;02582724;0.327;Q1;20;149;505;3195;281;505;0.57;21,44;China;Asiatic Region;Science Press;1991, 1998, 2001-2019;Multidisciplinary (Q1)
31;18761;Advances in Complex Systems;journal;02195259;0.323;Q1;30;17;100;687;92;99;1.08;40,41;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;2004-2020;"Multidisciplinary (Q1); Control and Systems Engineering (Q2)"
32;19298;American Scientist;trade journal;00030996;0.314;Q1;58;31;157;130;123;157;0.93;4,19;United States;Northern America;Sigma Xi, Scientific Research Society;1946-1951, 1961-2016;Multidisciplinary (Q1)
33;21100394266;International Journal of Agile Systems and Management;journal;17419174, 17419182;0.305;-;19;18;58;642;105;57;2.31;35,67;Switzerland;Western Europe;Inderscience Publishers;2006-2009, 2011-2020;"Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Industrial and Manufacturing Engineering (Q2); Decision Sciences (miscellaneous) (Q3); Management Information Systems (Q3); Strategy and Management (Q3)"
34;22447;Journal of the Indian Institute of Science;journal;00194964, 09704140;0.303;Q1;28;26;136;1938;116;114;0.60;74,54;India;Asiatic Region;Indian Institute of Science;1974, 1976-1978, 1983-1984, 1988, 1995-2020;Multidisciplinary (Q1)
35;19700173166;Acta Polytechnica Hungarica;journal;17858860;0.298;Q2;28;90;361;2433;377;358;1.04;27,03;Hungary;Eastern Europe;Obuda University;2004-2020;"Engineering (miscellaneous) (Q2); Multidisciplinary (Q2)"
