Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2011);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;21376;"Vaccine";journal;"0264410X, 13588745";1,744;Q1;164;1383;3304;51669;13370;3086;4,25;37,36;Netherlands;"Elsevier BV";"1983-ongoing";"Infectious Diseases (Q1); Molecular Medicine (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
2;19555;"Veterinary Research";journal;"09284249, 12979716";1,712;Q1;93;122;203;6686;884;197;4,14;54,80;United Kingdom;"BioMed Central";"1993-2016 (cancelled)";"Veterinary (miscellaneous) (Q1)"
3;18316;"Journal of Veterinary Internal Medicine";journal;"08916640";1,604;Q1;92;195;616;6401;1355;559;2,10;32,83;United States;"Wiley-Blackwell";"1987-ongoing";"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
4;20882;"Veterinary Microbiology";journal;"03781135";1,560;Q1;114;471;1161;14740;4078;1107;3,61;31,30;Netherlands;"Elsevier BV";"1976-ongoing";"Medicine (miscellaneous) (Q1); Microbiology (Q1); Veterinary (miscellaneous) (Q1)"
5;19537;"Veterinary Parasitology";journal;"03044017";1,233;Q1;109;491;1226;18595;3310;1191;2,78;37,87;Netherlands;"Elsevier BV";"1975-ongoing";"Medicine (miscellaneous) (Q1); Parasitology (Q1); Veterinary (miscellaneous) (Q1)"
6;18838;"Preventive Veterinary Medicine";journal;"01675877";1,194;Q1;84;161;471;5614;1140;447;2,37;34,87;Netherlands;"Elsevier BV";"1982-ongoing";"Animal Science and Zoology (Q1); Food Animals (Q1)"
7;18315;"Journal of Veterinary Emergency and Critical Care";journal;"14793261, 14764431";1,174;Q1;41;77;210;2733;354;195;2,15;35,49;United Kingdom;"Blackwell Publishing Inc.";"1991-1995, 2004-ongoing";"Veterinary (miscellaneous) (Q1)"
8;4300151401;"BMC Veterinary Research";journal;"17466148";1,165;Q1;46;82;156;2056;452;154;2,35;25,07;United Kingdom;"BioMed Central";"2005-ongoing";"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
9;19524;"Veterinary Journal";journal;"10900233";1,104;Q1;94;349;807;10697;1777;699;2,30;30,65;United Kingdom;"Elsevier Ltd.";"1997-ongoing";"Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1)"
10;19574;"Veterinary Surgery";journal;"1532950X, 01613499";1,101;Q1;71;146;376;4191;577;350;1,41;28,71;United States;"Wiley-Blackwell";"1972-ongoing";"Veterinary (miscellaneous) (Q1)"
11;13527;"Journal of Fish Diseases";journal;"13652761, 01407775";1,091;Q1;75;109;332;3352;873;320;2,52;30,75;United Kingdom;"Blackwell Publishing Inc.";"1978-ongoing";"Aquatic Science (Q1); Veterinary (miscellaneous) (Q1)"
