Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
22;21928;Fish and Fisheries;journal;14672960, 14672979;3,242;Q1;91;83;178;8032;1359;178;6,73;96,77;United Kingdom;Blackwell Publishing Inc.;2001-ongoing;"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1); Oceanography (Q1)"
23;19900191736;Conservation Letters;journal;1755263X;3,227;Q1;62;138;223;5438;1415;116;16,41;39,41;United States;John Wiley & Sons Inc.;2008, 2010-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)"
24;19700201681;Environmental Innovation and Societal Transitions;journal;22104224;3,212;Q1;34;70;127;5201;1095;125;8,01;74,30;Netherlands;Elsevier BV;2011-ongoing;"Environmental Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Social Sciences (miscellaneous) (Q1)"
25;11700154363;Cryosphere;journal;19940416, 19940424;3,016;Q1;63;232;530;14430;2778;529;4,80;62,20;Germany;Copernicus Group;2007-ongoing;"Earth-Surface Processes (Q1); Water Science and Technology (Q1)"
26;17822;Conservation Biology;journal;15231739, 08888892;2,977;Q1;201;170;516;7435;2992;444;6,09;43,74;United Kingdom;Blackwell Publishing Inc.;1987-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Medicine (miscellaneous) (Q1); Nature and Landscape Conservation (Q1)"
27;4000151810;PLoS Computational Biology;journal;15537358, 1553734X;2,949;Q1;148;577;1852;33177;8070;1754;4,38;57,50;United States;Public Library of Science;2005-ongoing;"Cellular and Molecular Neuroscience (Q1); Computational Theory and Mathematics (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Modeling and Simulation (Q1); Molecular Biology (Q1)"
28;21003;Environmental Health Perspectives;journal;00916765;2,938;Q1;249;188;985;6060;6320;764;7,48;32,23;United States;US Department of Health and Human Services;1972-ongoing;"Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)"
29;26239;Quaternary Science Reviews;journal;02773791;2,786;Q1;164;411;1038;41597;5107;992;4,83;101,21;United Kingdom;Elsevier Ltd.;1982-ongoing;"Archeology (Q1); Archeology (arts and humanities) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Geology (Q1); Global and Planetary Change (Q1)"
30;11600153422;Review of Environmental Economics and Policy;journal;17506816;2,772;Q1;42;24;62;1409;323;55;6,90;58,71;United States;Oxford University Press;2008-ongoing;"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)"
31;29602;Journal of Ecology;journal;00220477, 13652745;2,764;Q1;160;227;491;17197;2822;469;5,91;75,76;United Kingdom;Blackwell Publishing Inc.;1976, 1979-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
32;29547;Journal of Applied Ecology;journal;00218901, 13652664;2,731;Q1;159;287;587;16384;3499;562;5,80;57,09;United Kingdom;Blackwell Publishing Inc.;1973-ongoing;Ecology (Q1)
33;130030;Proceedings of the Royal Society B: Biological Sciences;journal;14712954, 09628452;2,722;Q1;221;565;1819;30584;8538;1733;4,24;54,13;United Kingdom;The Royal Society;1947, 1949-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1)"
34;18795;Water Research;journal;00431354;2,721;Q1;263;849;2390;46305;20289;2344;8,14;54,54;Netherlands;Elsevier BV;1967-ongoing;"Ecological Modeling (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)"
35;5200152632;Environmental Research Letters;journal;17489326;2,710;Q1;97;573;1215;33213;7391;1172;5,98;57,96;United Kingdom;Institute of Physics Publishing;2006-ongoing;"Environmental Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
36;20912;Environment International;journal;01604120;2,693;Q1;157;595;872;36692;7467;825;8,17;61,67;United Kingdom;Elsevier Ltd.;1976-ongoing;Environmental Science (miscellaneous) (Q1)
37;21100786533;Anthropocene Review;journal;20530196, 2053020X;2,651;Q1;19;20;61;1535;392;56;3,42;76,75;United States;SAGE Publications Inc.;2014-ongoing;"Ecology (Q1); Geology (Q1); Global and Planetary Change (Q1)"
38;29861;Organization and Environment;journal;10860266;2,605;Q1;48;40;68;2399;507;58;9,03;59,98;United States;SAGE Publications;1987-ongoing;"Environmental Science (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1)"
39;96592;Journal of Agrarian Change;journal;14710366, 14710358;2,535;Q1;48;48;110;3534;312;108;2,42;73,63;United Kingdom;Blackwell Publishing Inc.;2001-ongoing;"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Global and Planetary Change (Q1)"
40;24069;Green Chemistry;journal;14639262, 14639270;2,517;Q1;186;564;1877;36303;17582;1838;9,21;64,37;United Kingdom;Royal Society of Chemistry;1999-ongoing;"Environmental Chemistry (Q1); Pollution (Q1)"
41;21537;Environmental Science & Technology;journal;0013936X, 15205851;2,514;Q1;345;1595;4954;89838;36463;4682;7,27;56,32;United States;American Chemical Society;1958, 1967-ongoing;"Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Medicine (miscellaneous) (Q1)"
