Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21100330722;Annual Review of Animal Biosciences;journal;21658110, 21658102;2.787;Q1;47;19;66;2330;433;65;7.32;122.63;United States;Northern America;Annual Reviews Inc.;2013-2021;"Animal Science and Zoology (Q1); Biotechnology (Q1); Genetics (Q1); Veterinary (miscellaneous) (Q1)"
2;21376;Vaccine;journal;0264410X, 18732518;1.863;Q1;191;1047;3176;37527;10656;2987;3.28;35.84;Netherlands;Western Europe;Elsevier BV;1983-2021;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Molecular Medicine (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1)"
3;18316;Journal of Veterinary Internal Medicine;journal;19391676, 08916640;1.481;Q1;110;212;641;7208;1485;615;2.24;34;United States;Northern America;Wiley-Blackwell;1987-2021;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
4;19537;Veterinary Parasitology;journal;03044017, 18732550;1.275;Q1;131;317;1189;12016;3138;1170;2.55;37.91;Netherlands;Western Europe;Elsevier;1975-2021;"Medicine (miscellaneous) (Q1); Parasitology (Q1); Veterinary (miscellaneous) (Q1)"
5;19555;Veterinary Research;journal;09284249, 12979716;1.266;Q1;109;88;387;4495;1215;387;3.05;51.08;United Kingdom;Western Europe;BioMed Central Ltd.;1993-2021;Veterinary (miscellaneous) (Q1)
6;5200153105;Zoonoses and Public Health;journal;18631959, 18632378;1.248;Q1;69;88;233;3793;674;227;2.92;43.1;Germany;Western Europe;Wiley-Blackwell Publishing Ltd;2007-2021;"Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1); Epidemiology (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Infectious Diseases (Q2)"
7;20882;Veterinary Microbiology;journal;03781135, 18732542;1.175;Q1;135;371;1012;14505;2876;995;2.59;39.1;Netherlands;Western Europe;Elsevier;1976-2021;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Microbiology (Q2)"
8;21100805354;GeroScience;journal;25092715, 25092723;1.168;-;72;45;412;3388;1433;409;2.99;75.29;Switzerland;Western Europe;Springer International Publishing AG;2017-2021;"Geriatrics and Gerontology (Q1); Aging (Q2)"
9;10300153305;Transboundary and Emerging Diseases;journal;18651674, 18651682;1.147;Q1;70;233;324;8759;1031;322;3.33;37.59;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;2008-2021;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
10;18838;Preventive Veterinary Medicine;journal;01675877, 18731716;1.144;Q1;100;206;693;8148;1666;673;2.08;39.55;Netherlands;Western Europe;Elsevier;1982-2021;"Animal Science and Zoology (Q1); Food Animals (Q1)"
11;19538;Veterinary Pathology;journal;15442217, 03009858;1.078;Q1;94;118;417;4183;967;391;1.83;35.45;United States;Northern America;SAGE Publications Ltd;1964-2021;Veterinary (miscellaneous) (Q1)
12;21288;Acta Tropica;journal;18736254, 0001706X;1.052;Q1;106;393;857;18699;2274;850;2.7;47.58;Netherlands;Western Europe;Elsevier;1945-2021;"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2); Parasitology (Q2)"
13;18315;Journal of Veterinary Emergency and Critical Care;journal;14793261, 14764431;1.034;Q1;51;85;249;2787;367;238;1.42;32.79;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1991-2021;Veterinary (miscellaneous) (Q1)
14;17777;Equine Veterinary Journal;journal;20423306, 04251644;0.991;Q1;92;139;431;4478;664;369;1.45;32.22;United States;Northern America;Wiley-Blackwell;1968-2021;"Equine (Q1); Medicine (miscellaneous) (Q1)"
15;20340;Parasitology Research;journal;14321955, 09320113;0.991;Q1;98;392;1590;16483;4105;1584;2.74;42.05;Germany;Western Europe;Springer Verlag;1987-2021;"Insect Science (Q1); Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2); Parasitology (Q2)"
16;19524;Veterinary Journal;journal;15322971, 10900233;0.979;Q1;113;150;932;4399;1804;835;1.73;29.33;United Kingdom;Western Europe;Bailliere Tindall Ltd;1997-2021;"Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1)"
17;22916;Medical Mycology;journal;13693786, 14602709;0.973;Q1;92;111;314;2691;875;307;2.59;24.24;United Kingdom;Western Europe;Oxford University Press;1962-2021;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2)"
18;20491;Journal of Medical Entomology;journal;00222585;0.962;Q1;104;207;542;8505;1059;533;1.88;41.09;United States;Northern America;Oxford University Press;1964-2021;"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2); Parasitology (Q2)"
19;16700154702;Veterinary and Comparative Oncology;journal;14765829, 14765810;0.946;Q1;38;146;155;6292;324;149;2.17;43.1;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;2007-2021;Veterinary (miscellaneous) (Q1)
