Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21206;Nature;journal;14764687, 00280836;17.875;Q1;1159;3231;8422;44895;121253;4448;26.11;13,90;United Kingdom;Western Europe;Nature Publishing Group;1869-2020;Multidisciplinary (Q1)
2;23571;Science;journal;10959203, 00368075;14.142;Q1;1124;2733;6122;36877;104313;4435;23.93;13,49;United States;Northern America;American Association for the Advancement of Science;1880-1881, 1883-2020;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
3;21121;Proceedings of the National Academy of Sciences of the United States of America;journal;10916490, 00278424;6.092;Q1;737;3966;12008;178601;108216;10116;10.03;45,03;United States;Northern America;National Academy of Sciences;1945-1951, 1961-2020;Multidisciplinary (Q1)
4;21100457028;Science advances;journal;23752548;5.817;-;102;758;768;42172;9268;763;12.15;55,64;United States;Northern America;American Association for the Advancement of Science;2015-2020;Medicine (miscellaneous) (Q1)
5;21100409368;National Science Review;journal;20955138, 2053714X;2.056;Q1;39;130;216;7007;838;130;5.77;53,90;United Kingdom;Western Europe;Oxford University Press;2014-2020;Multidisciplinary (Q1)
6;21100200805;Scientific Reports;journal;20452322;1.533;Q1;179;25866;36000;1204616;164757;34448;4.54;46,57;United Kingdom;Western Europe;Nature Publishing Group;2011-2020;Multidisciplinary (Q1)
7;21100446014;Royal Society Open Science;journal;20545703;1.237;Q1;37;682;730;34467;2114;709;2.83;50,54;United Kingdom;Western Europe;The Royal Society;2014-2020;Multidisciplinary (Q1)
8;10600153309;PLoS ONE;journal;19326203;1.164;-;300;21185;84792;967545;268544;78806;3.05;45,67;United States;Northern America;Public Library of Science;2001, 2006-2020;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
9;21100394266;International Journal of Agile Systems and Management;journal;17419174, 17419182;0.878;-;19;16;55;801;167;54;2.50;50,06;Switzerland;Western Europe;Inderscience Publishers;2006-2009, 2011-2020;"Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Management Information Systems (Q1); Strategy and Management (Q1); Decision Sciences (miscellaneous) (Q2)"
10;22367;Progress in Natural Science: Materials International;journal;10020071;0.801;Q1;54;107;284;4300;877;281;2.81;40,19;Japan;Asiatic Region;Elsevier BV;1996-2020;"Multidisciplinary (Q1); Materials Science (miscellaneous) (Q2)"
11;23100;Proceedings of the Japan Academy Series B: Physical and Biological Sciences;journal;13492896, 03862208;0.789;Q1;50;53;103;4098;267;101;2.13;77,32;Japan;Asiatic Region;Japan Academy;1977-2020;"Agricultural and Biological Sciences (miscellaneous) (Q1); Multidisciplinary (Q1); Medicine (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
12;19700168304;Journal of Advanced Research;journal;20901232;0.741;Q1;45;77;283;4244;1264;277;5.30;55,12;Egypt;Africa/Middle East;Cairo University;2010-2020;Multidisciplinary (Q1)
