Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;23340;Chemical Reviews;journal;15206890, 00092665;12.871;Q1;745;113;299;27326;6530;299;20.22;241.82;United States;Northern America;American Chemical Society;1924-2021;Chemistry (miscellaneous) (Q1)
2;12286;Surface Science Reports;journal;01675729, 1879274X;10.217;-;121;11;38;3337;457;38;12;303.36;Netherlands;Western Europe;Elsevier;1981-2021;"Condensed Matter Physics (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1); Surfaces and Interfaces (Q1); Surfaces, Coatings and Films (Q1)"
3;22657;Accounts of Chemical Research;journal;00014842, 15204898;7.054;Q1;415;118;220;6085;2568;220;11.02;51.57;United States;Northern America;American Chemical Society;1968-2021;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
4;26556;Catalysis Reviews - Science and Engineering;journal;15205703, 01614940;6.64;Q1;105;7;29;1139;303;29;5.72;162.71;United States;Northern America;Taylor and Francis Ltd.;1968-1972, 1974-2021;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
5;26532;Advances in Catalysis;book series;03600564;6.024;Q1;57;10;13;1115;125;6;5;111.5;United States;Northern America;Academic Press Inc.;1948, 1950-1960, 1962-1963, 1965-1970, 1972-1973, 1975-1977, 1979-1983, 1985-1987, 1989-1990, 1992-1994, 1996, 1998-2002, 2004, 2006-2007, 2009-2020;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
6;24621;Journal of Molecular Graphics and Modelling;journal;10933263, 18734243;5.442;Q1;76;40;105;855;568;102;3.33;21.38;United States;Northern America;Elsevier Inc.;1997-2021;"Computer Graphics and Computer-Aided Design (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Spectroscopy (Q1)"
7;31446;Catalysis reviews;journal;03602451;5.406;Q1;0;0;0;0;0;0;0;0;United States;Northern America;Dekker;1980-1991;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
8;25306;Progress in Inorganic Chemistry;book series;00796379;4.94;Q1;50;0;25;0;174;25;7.94;0;United States;Northern America;"John Wiley &amp; Sons Inc.";1996-1998, 2001-2005, 2007, 2009, 2011;Inorganic Chemistry (Q1)
9;23350;Chemical Society Reviews;journal;03060012, 14604744;4.838;Q1;552;39;119;1565;976;119;8.72;40.13;United Kingdom;Western Europe;Royal Society of Chemistry;1972-2021;Chemistry (miscellaneous) (Q1)
10;26555;Annual Review of Physical Chemistry;journal;0066426X, 15451593;4.645;Q1;174;20;60;2673;498;60;8.63;133.65;United States;Northern America;Annual Reviews Inc.;1975, 1983, 1985, 1988-2021;Physical and Theoretical Chemistry (Q1)
11;25760;Advances in Organometallic Chemistry;book series;00653055;3.568;Q1;54;13;24;2072;168;5;7.8;159.38;United States;Northern America;Academic Press Inc.;1964-1977, 1979-1987, 1989-2001, 2003-2008, 2010-2021;Organic Chemistry (Q1)
12;22687;Angewandte Chemie - International Edition;journal;14337851, 15213773;3.529;Q1;579;833;2105;32843;11794;2104;5.98;39.43;United Kingdom;Western Europe;John Wiley and Sons Ltd;1962-2021;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
13;22680;Journal of the American Chemical Society;journal;15205126, 00027863;3.438;Q1;644;2121;6499;93625;35787;5764;5.49;44.14;United States;Northern America;American Chemical Society;1879-2021;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
14;24644;Journal of Physical and Chemical Reference Data;journal;15297845, 00472689;3.399;Q1;94;20;49;3333;365;49;7.77;166.65;United States;Northern America;American Institute of Physics;1972-2021;"Chemistry (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1)"
15;21537;"Environmental Science &amp; Technology";journal;0013936X, 15205851;3.367;Q1;425;794;1959;21824;6974;1734;3.42;27.49;United States;Northern America;American Chemical Society;1958, 1967-2021;"Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Medicine (miscellaneous) (Q1)"
16;26960;Advances in Chemical Physics;book series;00652385;3.116;Q1;81;56;91;9257;514;91;3.63;165.3;United States;Northern America;"John Wiley &amp; Sons Inc.";1996-2014;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Bioengineering (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
17;26465;Progress in Polymer Science;journal;00796700;3.026;Q1;296;32;89;4234;390;89;4.03;132.31;United Kingdom;Western Europe;Elsevier Ltd.;1967, 1970-1971, 1975, 1977-1978, 1980-1986, 1988-2021;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
18;17399;Current Opinion in Chemical Biology;journal;13675931, 18790402;2.907;Q1;190;105;166;4564;794;164;4.78;43.47;United Kingdom;Western Europe;Elsevier Ltd.;1997-2021;"Analytical Chemistry (Q1); Biochemistry (Q1)"
19;23392;Chemistry - A European Journal;journal;15213765, 09476539;2.904;Q1;254;446;722;25474;3290;715;4.71;57.12;Germany;Western Europe;Wiley-VCH Verlag;1995-2021;Chemistry (miscellaneous) (Q1)
20;24085;Progress in Nuclear Magnetic Resonance Spectroscopy;journal;00796565, 18733301;2.87;Q1;109;16;43;2348;273;43;4.88;146.75;Netherlands;Western Europe;Elsevier;1965-1967, 1969-1973, 1975-1982, 1984-2021;"Analytical Chemistry (Q1); Biochemistry (Q1); Materials Science (miscellaneous) (Q1); Nuclear and High Energy Physics (Q1); Spectroscopy (Q1)"
21;21100779404;Macromolecules;journal;00249297, 15205835;2.75;Q1;323;1301;3958;43404;13277;3958;3.3;33.36;United States;Northern America;American Chemical Society;1968-2021;"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)"
22;21221;MRS Bulletin;journal;08837694, 19381425;2.746;Q1;159;108;326;2520;1047;323;3.31;23.33;Switzerland;Western Europe;Springer International Publishing AG;1980, 1982-2021;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)"
