Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
398;13585;Kemija u industriji/Journal of Chemists and Chemical Engineers (discontinued);journal;00229830;0.13;Q3;11;127;127;1008;4;86;0.02;7.94;Croatia;Eastern Europe;Assoc. of Chemists and Chemical Engineers of Croatia;1993-1999, 2001-2017;"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q4)"
399;32155;Chemische Technik;journal;00456519;0.129;Q3;8;6;83;149;15;82;0.09;24.83;Germany;Western Europe;Deutscher Verlag fur Grundstoffindustrie;1971-1989, 1995-2002;Chemical Engineering (miscellaneous) (Q3)
400;28334;Ocean and Polar Research;journal;1598141X;0.129;Q3;14;48;37;1258;6;37;0.16;26.21;South Korea;Asiatic Region;Korea Institute of Ocean Science and Technology;2001-2021;"Ocean Engineering (Q2); Fluid Flow and Transfer Processes (Q3); Aquatic Science (Q4); Geology (Q4)"
401;110718;IGT International Liquefied Natural Gas Conference Proceedings;conference and proceedings;01972782;0.127;-;9;0;97;0;6;97;0.06;0;United States;Northern America;;;"Energy Engineering and Power Technology; Mechanical Engineering; Mechanics of Materials; Process Chemistry and Technology"
402;13086;Institution of Chemical Engineers Symposium Series;conference and proceedings;03070492;0.127;-;17;0;178;0;35;177;0.2;0;United Kingdom;Western Europe;;;"Chemical Engineering (miscellaneous); Engineering (miscellaneous)"
403;25880;Techniques - Sciences - Methodes;journal;02997258;0.127;Q3;10;43;94;419;3;94;0.01;9.74;France;Western Europe;Assoc. Generale des Hygienistes et Techniciens Municipaux;1987-1989, 1991-2021;"Ocean Engineering (Q2); Agricultural and Biological Sciences (miscellaneous) (Q3); Fluid Flow and Transfer Processes (Q3); Water Science and Technology (Q3)"
404;67279;Chemical Innovation;journal;15274799;0.125;Q3;15;0;252;0;40;238;0.16;0;United States;Northern America;American Chemical Society;2000-2001;Chemical Engineering (miscellaneous) (Q3)
405;74418;Papir;trade journal;03506614;0.124;Q3;2;19;24;67;4;20;0.17;3.53;Denmark;Western Europe;Gyldendal;1998, 2000-2007;Chemical Engineering (miscellaneous) (Q3)
406;88311;Adhaesion Kleben und Dichten;trade journal;16191919;0.123;Q3;7;80;218;111;23;153;0.1;1.39;Germany;Western Europe;Springer Vieweg;1996-2021;"Chemical Engineering (miscellaneous) (Q3); Polymers and Plastics (Q3); Chemistry (miscellaneous) (Q4)"
407;55254;Celuloza Si Hartie;trade journal;12209848;0.123;Q3;3;29;75;209;5;74;0.04;7.21;Romania;Eastern Europe;ATICHR;1996-2002;Chemical Engineering (miscellaneous) (Q3)
408;13714;Fizika Goreniya i Vzryva;journal;04306228;0.123;Q2;14;109;355;1572;47;355;0.14;14.42;Russian Federation;Eastern Europe;Izdatel'stvo Sibirskogo Otdeleniya Rossiiskoi Akademii Nauk/Publishing House of the Russian Academy of Sciences;1991-2004;"Process Chemistry and Technology (Q2); Mechanical Engineering (Q3)"
409;28417;Ink World;trade journal;1093328X;0.123;Q3;2;82;258;55;4;159;0.01;0.67;United States;Northern America;Rodman Publications Inc.;1998-2020;"Media Technology (Q2); Chemical Engineering (miscellaneous) (Q3); Materials Chemistry (Q4)"
410;66875;Polymer Recycling;journal;09695990;0.122;Q3;10;0;50;0;5;49;0.09;0;United Kingdom;Western Europe;RAPRA Technology Ltd.;1996-1997, 1999-2001;"Chemical Engineering (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Polymers and Plastics (Q3)"
411;12335;Teplofizika Vysokikh Temperatur;journal;00403644;0.122;Q3;12;135;140;0;46;140;0.33;0;Russian Federation;Eastern Europe;Izdatel'stvo Nauka;1975, 1991-1995, 2001-2004;Fluid Flow and Transfer Processes (Q3)
412;56378;Rossijskij Khimicheskij Zhurnal (Zhurnal Rossijskogo Khimicheskogo Obshchestva Im. D.I. Mendeleeva);journal;10246215;0.121;Q3;26;101;160;0;42;158;0.26;0;Russian Federation;Eastern Europe;Rossiskoe Khimicheskoe Obshchestvo im. D.I. Mendeleeva;2000-2005;Chemical Engineering (miscellaneous) (Q3)
413;14357;Theoretical Foundations of Chemical Engineering;journal;00405795, 16083431;0.121;Q3;25;97;282;1564;20;282;0.08;16.12;United States;Northern America;Pleiades Publishing;1974-1992, 1996-2021;"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q4)"
414;60277;ACS National Meeting Book of Abstracts;conference and proceedings;00657727;0.12;-;7;0;464;0;18;346;0.05;0;United States;Northern America;American Chemical Society;1999-2001, 2004-2011;"Chemical Engineering (miscellaneous); Chemistry (miscellaneous)"
415;145556;International Journal of Sustainable Energy;journal;1478646X, 14786451;0.12;Q2;33;14;30;199;5;30;0.19;14.21;United Kingdom;Western Europe;Taylor and Francis Ltd.;2003, 2005-2021;"Process Chemistry and Technology (Q2); Energy (miscellaneous) (Q3); Fluid Flow and Transfer Processes (Q3); Fuel Technology (Q3); Renewable Energy, Sustainability and the Environment (Q4)"
416;18320;Petrole et Techniques;trade journal;01525425;0.12;Q2;4;43;263;179;7;205;0.02;4.16;France;Western Europe;Association Francaise des Techniciens et des Professionels du Petrole (A F T P);1996-2004;"Economic Geology (Q2); Process Chemistry and Technology (Q2); Fuel Technology (Q3)"
417;89083;China Petroleum Processing and Petrochemical Technology;journal;10086234;0.119;Q3;13;57;208;125;4;75;0.02;2.19;China;Asiatic Region;Research Institute of Petroleum Processing, SINOPEC;1999-2019;"Energy Engineering and Power Technology (Q3); Fuel Technology (Q3); Mechanical Engineering (Q3); Process Chemistry and Technology (Q3)"
418;15308;Pulping Conference, Proceedings of the Technical Association of the Pulp and Paper Industry;conference and proceedings;02750899;0.118;-;11;0;84;0;10;83;0.12;0;United States;Northern America;;;Chemical Engineering (miscellaneous)
419;68743;Handbook of Powder Technology;book series;01673785;0.117;Q3;15;0;87;0;7;0;0.08;0;Netherlands;Western Europe;Elsevier;1980, 2001, 2007;"Chemical Engineering (miscellaneous) (Q3); Industrial and Manufacturing Engineering (Q3); Mechanics of Materials (Q4)"
420;15243;Papir A Celuloza;trade journal;00311421;0.116;Q3;6;125;202;92;3;149;0.02;0.74;Czech Republic;Eastern Europe;Svaz Prumyslu Papiru a Celulozy;1996-2005;Chemical Engineering (miscellaneous) (Q3)
421;25193;Applied Sciences;journal;14545101;0.115;Q3;20;5;22;27;1;22;0.06;5.4;Romania;Eastern Europe;Balkan Society of Geometers;1999-2021;"Engineering (miscellaneous) (Q3); Fluid Flow and Transfer Processes (Q3); Materials Science (miscellaneous) (Q3); Process Chemistry and Technology (Q3); Applied Mathematics (Q4); Computer Science Applications (Q4); Instrumentation (Q4)"
422;17458;European Cells and Materials;journal;14732262;0.115;Q4;87;230;170;1297;15;170;0.09;5.64;Switzerland;Western Europe;AO Research Institute;2001-2021;"Medicine (miscellaneous) (Q3); Biochemistry (Q4); Bioengineering (Q4); Biomaterials (Q4); Biomedical Engineering (Q4); Cell Biology (Q4)"
423;34912;Revista de Quimica Textile;trade journal;03003418;0.115;Q3;4;32;76;78;6;76;0.08;2.44;Spain;Western Europe;Asociacion Espanola de Quimicos y Coloristas Textiles;1993-2009;"Business and International Management (Q3); Chemical Engineering (miscellaneous) (Q3); Polymers and Plastics (Q3); Environmental Science (miscellaneous) (Q4)"
