Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;23571;Science;journal;10959203, 00368075;16.615;Q1;1229;2239;7752;41393;78623;3956;9.34;18.49;United States;Northern America;American Association for the Advancement of Science;1880-1881, 1883-2021;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
2;21206;Nature;journal;14764687, 00280836;15.599;Q1;1276;2516;8516;30356;80838;4368;9.28;12.07;United Kingdom;Western Europe;Nature Publishing Group;1869-2021;Multidisciplinary (Q1)
3;21121;Proceedings of the National Academy of Sciences of the United States of America;journal;10916490, 00278424;8.52;Q1;805;2760;8309;101939;84641;8127;9.88;36.93;United States;Northern America;National Academy of Sciences;1945-1951, 1961-2021;Multidisciplinary (Q1)
4;19298;American Scientist;trade journal;00030996;1.068;Q1;61;47;134;487;276;134;1.95;10.36;United States;Northern America;Sigma Xi, Scientific Research Society;1946-1951, 1961-2016;Multidisciplinary (Q1)
5;80974;Ciba Foundation symposium;journal;03005208;0.941;Q1;47;0;296;0;619;296;1.99;0;United States;Northern America;Wiley Subscription Services;1970-1973, 1975-1997;Multidisciplinary (Q1)
6;37052;Papers and Proceedings - Royal Society of Tasmania;journal;00804703;0.88;Q1;12;0;32;0;32;32;0.11;0;Australia;Pacific Region;Royal Society of Tasmania;1982-1997, 2009-2011, 2015-2020;Multidisciplinary (Q1)
7;12337;International Journal of Bifurcation and Chaos in Applied Sciences and Engineering;journal;17936551, 02181274;0.78;Q1;107;180;556;3669;498;556;0.74;20.38;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1996-2021;"Engineering (miscellaneous) (Q1); Modeling and Simulation (Q1); Multidisciplinary (Q1); Applied Mathematics (Q2)"
8;24197;Scientific American;journal;00368733;0.754;Q1;94;78;277;61;535;266;2.09;0.78;United States;Northern America;Scientific American Inc.;1947-1950, 1958-2020;Multidisciplinary (Q1)
9;27733;Latin American Research Review;journal;00238791, 15424278;0.577;-;50;17;57;952;41;57;0.82;56;United States;Northern America;Latin American Studies Association;1970, 1978-2021;"Geography, Planning and Development (Q1); Sociology and Political Science (Q2)"
10;23030;Journal of the Royal Society of New Zealand;journal;03036758;0.553;Q1;41;26;76;798;76;76;0.96;30.69;United Kingdom;Western Europe;Taylor and Francis Ltd.;1971-2021;Multidisciplinary (Q1)
11;28472;Fractals;journal;17936543, 0218348X;0.495;Q1;51;42;190;821;124;190;0.82;19.55;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1995-2021;"Multidisciplinary (Q1); Modeling and Simulation (Q2); Applied Mathematics (Q3); Geometry and Topology (Q3)"
12;25823;Complexity;journal;10762787, 10990526;0.371;Q1;66;36;146;695;73;139;0.44;19.31;Egypt;Africa/Middle East;Hindawi Limited;1995-2021;Multidisciplinary (Q1)
13;23100;Proceedings of the Japan Academy Series B: Physical and Biological Sciences;journal;13492896, 03862208;0.361;Q1;59;60;133;930;98;133;0.81;15.5;Japan;Asiatic Region;Japan Academy;1977-2021;"Multidisciplinary (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q3)"
14;22251;Pacific Science;journal;15346188, 00308870;0.347;Q1;43;36;101;837;50;101;0.43;23.25;United States;Northern America;University of Hawaii Press;1979-2021;Multidisciplinary (Q1)
15;23697;Science Progress;journal;20477163, 00368504;0.321;Q1;37;11;37;306;41;35;1.03;27.82;United Kingdom;Western Europe;Science Reviews Ltd;1946-1949, 1955, 1957, 1960-1963, 1965-1972, 1974-1993, 1995-2021;Multidisciplinary (Q1)
16;5000157301;Transactions of the Royal Society of South Africa;journal;0035919X, 21540098;0.29;Q1;26;22;62;1501;17;62;0.28;68.23;United Kingdom;Western Europe;Taylor and Francis Ltd.;1909-1910, 1913-1915, 1917-1919, 1921-1926, 1928-1940, 1942-1943, 1945-1949, 1951, 1954-1964, 1967-1972, 1974-1990, 1992-2021;"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Multidisciplinary (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
17;20699;Current Science;journal;00113891;0.286;Q2;124;399;909;12813;467;908;0.51;32.11;India;Asiatic Region;Indian Academy of Sciences;1945-1951, 1973-1989, 1993-2021;Multidisciplinary (Q2)
18;22962;Interciencia;journal;03781844;0.278;Q2;38;47;111;1469;32;111;0.31;31.26;Venezuela;Latin America;Interciencia Association;1979, 1981-1982, 1986, 1993, 1996-2021;Multidisciplinary (Q2)
19;13883;Caribbean Journal of Science;journal;00086452;0.258;Q2;33;29;130;735;40;130;0.32;25.34;Puerto Rico;Latin America;University of Puerto Rico Medical Sciences Campus;1980, 1982-2010, 2016, 2019;Multidisciplinary (Q2)
20;18659;Anais da Academia Brasileira de Ciencias;journal;00013765, 16782690;0.239;Q2;62;61;186;1465;52;186;0.26;24.02;Brazil;Latin America;Academia Brasileira de Ciencias;1945-1946, 1949, 1970-1992, 1994-2021;Multidisciplinary (Q2)
21;5400152705;Archives des Sciences;journal;1661464X;0.227;Q2;15;14;64;373;17;64;0.26;26.64;Switzerland;Western Europe;Societe de Physique et d'Histoire Naturelle de Geneve;2004-2014, 2017-2018, 2020;Multidisciplinary (Q2)
22;23049;Issues in Science and Technology;journal;07485492;0.227;Q2;30;7;37;45;11;28;0.29;6.43;United States;Northern America;University of Texas at Dallas;1985-1999, 2001-2016, 2018-2019;Multidisciplinary (Q2)
23;23516;Journal of the Royal Society of Western Australia;journal;0035922X;0.223;Q2;27;15;82;476;20;82;0.23;31.73;Australia;Pacific Region;Royal Society of Western Australia Inc.;1981, 1983-2021;Multidisciplinary (Q2)
24;28036;Indian Journal of Pure and Applied Physics;journal;09751041, 00195596;0.215;-;42;169;454;2741;98;454;0.2;16.22;India;Asiatic Region;National Institute of Science Communication and Information Resources (NISCAIR);1969, 1971, 1974-1990, 1993-2021;Physics and Astronomy (miscellaneous) (Q3)
25;23649;Journal of Scientific and Industrial Research;journal;09751084, 00224456;0.204;Q2;57;87;278;2151;71;278;0.23;24.72;India;Asiatic Region;National Institute of Science Communication and Information Resources (NISCAIR);1969-1970, 1972-1978, 1980, 1982-1991, 1994-2021;Multidisciplinary (Q2)
26;23285;Natures Sciences Societes;journal;12401307, 17652979;0.204;Q2;19;22;55;837;22;55;0.29;38.05;France;Western Europe;EDP Sciences;1995-2021;"Agricultural and Biological Sciences (miscellaneous) (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2); Multidisciplinary (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)"
27;5800207553;Linguistics in the Netherlands;journal;09297332;0.202;Q2;15;17;57;0;4;57;0.06;0;Netherlands;Western Europe;John Benjamins Publishing Company;1996-2017, 2019-2020;"Health Professions (miscellaneous) (Q2); Linguistics and Language (Q2); Multidisciplinary (Q2); Psychology (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)"
28;33604;Journal and Proceedings - Royal Society of New South Wales;journal;00359173;0.19;Q2;8;0;7;0;1;7;0.5;0;Australia;Pacific Region;Royal Society of New South Wales;1982-1997, 2009-2021;Multidisciplinary (Q2)
