Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2015);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;21376;Vaccine;journal;0264410X, 13588745;2.073;Q1;164;1167;3292;44394;12281;3091;3.74;38,04;Netherlands;Elsevier BV;1983-ongoing;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Molecular Medicine (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1)"
2;21100330722;Annual Review of Animal Biosciences;journal;21658110, 21658102;1.947;Q1;26;23;47;3158;235;46;5.11;137,30;United States;Annual Reviews Inc.;2013-ongoing;"Animal Science and Zoology (Q1); Biotechnology (Q1); Genetics (Q1); Veterinary (miscellaneous) (Q1)"
3;19555;Veterinary Research;journal;09284249, 12979716;1.537;Q1;93;141;340;7025;1145;339;3.17;49,82;United Kingdom;BioMed Central;1993-2016 (cancelled);Veterinary (miscellaneous) (Q1)
4;20882;Veterinary Microbiology;journal;03781135;1.413;Q1;114;326;1402;12004;3894;1341;2.86;36,82;Netherlands;Elsevier BV;1976-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Microbiology (Q2)"
5;10300153305;Transboundary and Emerging Diseases;journal;18651674, 18651682;1.305;Q1;52;94;278;3036;714;272;2.39;32,30;Germany;Blackwell-Wiss.-Verl;2008-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
6;18838;Preventive Veterinary Medicine;journal;01675877;1.2819999999999998;Q1;84;236;647;8698;1511;619;2.49;36,86;Netherlands;Elsevier BV;1982-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1)"
7;5200153105;Zoonoses and Public Health;journal;18631959, 18632378;1.263;Q1;57;88;239;3364;591;230;2.7;38,23;Germany;Blackwell-Wiss.-Verl;2007-ongoing;"Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1); Epidemiology (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Infectious Diseases (Q2)"
8;17778;Medical and Veterinary Entomology;journal;0269283X, 13652915;1.236;Q1;74;57;184;2014;501;181;2.75;35,33;United Kingdom;Blackwell Publishing Inc.;1987-ongoing;"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1); Veterinary (miscellaneous) (Q1); Parasitology (Q2)"
9;18316;Journal of Veterinary Internal Medicine;journal;08916640;1.217;Q1;92;217;650;6520;1464;598;2.21;30,05;United States;Wiley-Blackwell;1987-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
10;19537;Veterinary Parasitology;journal;03044017;1.21;Q1;109;376;1474;14931;3932;1437;2.58;39,71;Netherlands;Elsevier BV;1975-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Parasitology (Q2)"
11;19498;Veterinary Anaesthesia and Analgesia;journal;14672995, 14672987;1.161;Q1;47;95;284;2473;457;236;1.77;26,03;United Kingdom;Elsevier Ltd.;1970-1974, 1976-1978, 1980, 1982-1986, 1988-1995, 2003-ongoing;Veterinary (miscellaneous) (Q1)
12;17777;Equine Veterinary Journal;journal;04251644;1.122;Q1;79;145;525;4397;959;443;2.0;30,32;United States;Wiley-Blackwell;1968-ongoing;"Equine (Q1); Medicine (miscellaneous) (Q1)"
13;19514;Veterinary Clinics of North America - Food Animal Practice;journal;07490720;1.115;Q1;60;38;117;1310;257;107;2.31;34,47;United Kingdom;W. B. Saunders Co., Ltd.;1971-1978, 1985-ongoing;"Food Animals (Q1); Medicine (miscellaneous) (Q1)"
14;21288;Acta Tropica;journal;0001706X;1.106;Q1;89;306;651;14080;1723;641;2.62;46,01;Netherlands;Elsevier BV;1947-1949, 1951-ongoing;"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2); Parasitology (Q2)"
15;19538;Veterinary Pathology;journal;15442217, 03009858;1.09;Q1;80;163;423;5904;998;382;2.44;36,22;United States;SAGE Publications;1964-ongoing;Veterinary (miscellaneous) (Q1)
16;22916;Medical Mycology;journal;13693786, 14602709;1.077;Q1;77;93;384;3788;1063;373;2.98;40,73;United Kingdom;Oxford University Press;1996-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2)"
17;19660;Comparative Immunology, Microbiology and Infectious Diseases;journal;01479571;1.064;Q1;48;45;178;1863;420;177;2.35;41,40;United Kingdom;Elsevier Ltd.;1978-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Immunology (Q2); Immunology and Allergy (Q2); Infectious Diseases (Q2); Microbiology (Q2)"
18;24609;Applied Animal Behaviour Science;journal;01681591;1.04;Q1;95;165;461;7738;1086;452;2.27;46,90;Netherlands;Elsevier BV;1984-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1)"
