Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2015);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21206;Nature;journal;14764687, 00280836;19.669;Q1;1159;2643;7871;46163;121675;4202;26.45;17.47;United Kingdom;Western Europe;Nature Publishing Group;1869-2020;Multidisciplinary (Q1)
2;23571;Science;journal;10959203, 00368075;12.872;Q1;1124;2046;6481;36534;97878;4782;20.41;17.86;United States;Northern America;American Association for the Advancement of Science;1880-1881, 1883-2020;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
3;21121;Proceedings of the National Academy of Sciences of the United States of America;journal;10916490, 00278424;6.814;Q1;737;4001;13112;163558;125903;11216;10.68;40.88;United States;Northern America;National Academy of Sciences;1945-1951, 1961-2020;Multidisciplinary (Q1)
4;21100200805;Scientific Reports;journal;20452322;2.034;Q1;179;10958;7367;469244;43757;7049;5.89;42.82;United Kingdom;Western Europe;Nature Publishing Group;2011-2020;Multidisciplinary (Q1)
5;10600153309;PLoS ONE;journal;19326203;1.427;-;300;29824;87508;1345862;325391;83993;3.57;45.13;United States;Northern America;Public Library of Science;2001, 2006-2020;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
6;21100409368;National Science Review;journal;20955138, 2053714X;1.273;Q1;39;75;90;3053;232;55;4.22;40.71;United Kingdom;Western Europe;Oxford University Press;2014-2020;Multidisciplinary (Q1)
7;23100;Proceedings of the Japan Academy Series B: Physical and Biological Sciences;journal;13492896, 03862208;1.114;Q1;50;36;102;2652;316;102;2.65;73.67;Japan;Asiatic Region;Japan Academy;1977-2020;"Agricultural and Biological Sciences (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Multidisciplinary (Q1); Physics and Astronomy (miscellaneous) (Q1)"
8;12337;International Journal of Bifurcation and Chaos in Applied Sciences and Engineering;journal;17936551, 02181274;0.752;Q1;95;271;828;7624;1287;822;1.61;28.13;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1996-2020;"Engineering (miscellaneous) (Q1); Multidisciplinary (Q1); Applied Mathematics (Q2); Modeling and Simulation (Q2)"
9;19700200807;Research in Science and Technological Education;journal;14701138, 02635143;0.657;Q1;31;19;55;931;60;54;1.11;49;United Kingdom;Western Europe;Taylor and Francis Ltd.;1983-2020;"Multidisciplinary (Q1); Education (Q2)"
10;21100446014;Royal Society Open Science;journal;20545703;0.646;Q1;37;251;52;11891;110;50;2.2;47.37;United Kingdom;Western Europe;The Royal Society;2014-2020;Multidisciplinary (Q1)
11;22251;Pacific Science;journal;15346188, 00308870;0.575;Q1;40;38;123;1710;144;121;1.21;45;United States;Northern America;University of Hawaii Press;1979-2019;Multidisciplinary (Q1)
12;22367;Progress in Natural Science: Materials International;journal;10020071;0.565;Q1;54;90;260;3058;659;256;1.99;33.98;Japan;Asiatic Region;Elsevier BV;1996-2020;"Multidisciplinary (Q1); Materials Science (miscellaneous) (Q2)"
13;21100247071;Science and Technology Studies;journal;22434690;0.553;-;12;14;52;840;70;47;1.56;60;Finland;Western Europe;The Finnish Society for Science and Technology Studies;2012-2019;History and Philosophy of Science (Q1)
14;21100405003;Science Bulletin;journal;20959273, 20959281;0.491;Q1;101;287;1908;11433;3659;1817;1.97;39.84;Netherlands;Western Europe;Elsevier BV;2015-2020;Multidisciplinary (Q1)
15;25823;Complexity;journal;10762787, 10990526;0.487;Q1;52;93;118;3603;263;109;2.63;38.74;Egypt;Africa/Middle East;Hindawi Limited;1995-2020;Multidisciplinary (Q1)
16;23030;Journal of the Royal Society of New Zealand;journal;03036758;0.451;Q1;37;24;53;907;39;44;1;37.79;United Kingdom;Western Europe;Taylor and Francis Ltd.;1971-2020;Multidisciplinary (Q1)
17;21100228569;SpringerPlus;journal;21931801;0.433;Q1;41;908;1569;28209;1996;1552;1.27;31.07;Germany;Western Europe;Springer Science and Business Media Deutschland GmbH;2012-2017;Multidisciplinary (Q1)
18;28472;Fractals;journal;17936543, 0218348X;0.423;Q1;39;62;78;1962;121;78;1.62;31.65;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1995-2020;"Multidisciplinary (Q1); Applied Mathematics (Q3); Geometry and Topology (Q3); Modeling and Simulation (Q3)"
19;86891;Journal of King Saud University - Science;journal;10183647;0.416;Q1;32;49;137;1684;296;136;2.69;34.37;Saudi Arabia;Middle East;King Saud University;1994, 2009-2020;Multidisciplinary (Q1)
20;27733;Latin American Research Review;journal;00238791, 15424278;0.405;-;45;50;135;2017;96;124;0.81;40.34;United States;Northern America;Latin American Studies Association;1970, 1978-2020;"Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
21;19700173166;Acta Polytechnica Hungarica;journal;17858860;0.379;Q1;28;111;332;2921;421;328;1.07;26.32;Hungary;Eastern Europe;Obuda University;2004-2020;"Multidisciplinary (Q1); Engineering (miscellaneous) (Q2)"
22;18761;Advances in Complex Systems;journal;02195259;0.377;Q1;30;23;163;846;212;161;0.9;36.78;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;2004-2020;"Multidisciplinary (Q1); Control and Systems Engineering (Q2)"
23;25522;Tsinghua Science and Technology;journal;10070214;0.365;Q1;40;64;205;1933;296;199;1.8;30.2;China;Asiatic Region;Tsing Hua University;2003-2020;Multidisciplinary (Q1)
24;23697;Science Progress;journal;20477163, 00368504;0.364;Q1;33;31;79;1316;108;56;1.5;42.45;United Kingdom;Western Europe;Science Reviews Ltd;1946-1949, 1955, 1957, 1960-1963, 1965-1972, 1974-1993, 1995-2020;Multidisciplinary (Q1)
25;26207;Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University;journal;02582724;0.351;Q1;20;168;504;2381;239;504;0.46;14.17;China;Asiatic Region;Science Press;1991, 1998, 2001-2019;Multidisciplinary (Q1)
26;18659;Anais da Academia Brasileira de Ciencias;journal;00013765, 16782690;0.343;Q1;54;190;431;8917;421;420;0.91;46.93;Brazil;Latin America;Academia Brasileira de Ciencias;1945-1946, 1949, 1970-1992, 1994-2020;Multidisciplinary (Q1)
27;5700165172;World Review of Science, Technology and Sustainable Development;journal;17412242, 17412234;0.332;Q1;13;10;44;311;37;44;0.71;31.1;United Kingdom;Western Europe;Inderscience Enterprises Ltd.;2007-2010, 2012-2020;Multidisciplinary (Q1)
28;13951;Arabian Journal for Science and Engineering;journal;21914281, 2193567X;0.328;Q1;37;283;1346;9228;1265;1338;0.96;32.61;Germany;Western Europe;Springer Berlin;1984, 1986, 1996-2020;Multidisciplinary (Q1)
29;20699;Current Science;journal;00113891;0.324;Q1;110;778;1821;17668;1235;897;1.24;22.71;India;Asiatic Region;Indian Academy of Sciences;1945-1951, 1973-1989, 1993-2020;Multidisciplinary (Q1)
30;145055;Xi'an Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of Xi'an Shiyou University, Natural Sciences Edition;journal;1673064X;0.319;Q1;13;121;393;1568;101;393;0.29;12.96;China;Asiatic Region;Xi'an Petroleum University;2005-2020;Multidisciplinary (Q1)
31;19298;American Scientist;trade journal;00030996;0.316;Q1;58;31;177;212;101;177;0.51;6.84;United States;Northern America;Sigma Xi, Scientific Research Society;1946-1951, 1961-2016;Multidisciplinary (Q1)
32;19700181256;Constructivist Foundations;journal;1782348X;0.315;-;14;121;235;1435;88;73;1.38;11.86;Belgium;Western Europe;Vrije Universiteit Brussel;2010-2019;"Philosophy (Q1); History and Philosophy of Science (Q2); Education (Q3); Cognitive Neuroscience (Q4)"
33;4400151506;Eurasip Journal on Bioinformatics and Systems Biology;journal;16874153, 16874145;0.314;Q1;19;13;46;602;42;46;0.79;46.31;Germany;Western Europe;Springer Open;2006-2017;"Multidisciplinary (Q1); Computer Science (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Computational Mathematics (Q3); Computer Science Applications (Q3); Medicine (miscellaneous) (Q3); Signal Processing (Q3); Statistics and Probability (Q4)"
34;28036;Indian Journal of Pure and Applied Physics;journal;09751041, 00195596;0.31;-;38;105;371;2900;332;367;0.84;27.62;India;Asiatic Region;National Institute of Science Communication and Information Resources (NISCAIR);1969, 1971, 1974-1990, 1993-2019;Physics and Astronomy (miscellaneous) (Q3)
35;5600155094;Perspectives on Science;journal;10636145, 15309274;0.297;Q2;22;17;77;906;33;73;0.3;53.29;United States;Northern America;MIT Press Journals;1999-2020;"History and Philosophy of Science (Q2); Multidisciplinary (Q2)"
36;19700201672;Journal of the Association of Arab Universities for Basic and Applied Sciences;journal;18153852;0.296;Q2;0;0;0;0;0;0;0;0;Bahrain;Middle East;Taylor and Francis Ltd.;2010-2017;"Agricultural and Biological Sciences (miscellaneous) (Q2); Energy (miscellaneous) (Q2); Multidisciplinary (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3)"
37;19700168304;Journal of Advanced Research;journal;20901232;0.278;Q2;45;85;208;4041;370;206;1.8;47.54;Egypt;Africa/Middle East;Cairo University;2010-2020;Multidisciplinary (Q2)
