Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2005);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;21376;Vaccine;journal;0264410X, 13588745;1,219;Q1;164;653;1773;21296;5740;1698;3,29;32,61;Netherlands;Elsevier BV;1983-ongoing;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1); Molecular Medicine (Q2)"
2;18316;Journal of Veterinary Internal Medicine;journal;08916640;1,184;Q1;92;144;385;4093;714;363;1,82;28,42;United States;Wiley-Blackwell;1987-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
3;13527;Journal of Fish Diseases;journal;13652761, 01407775;1,155;Q1;75;88;257;2351;456;255;1,70;26,72;United Kingdom;Blackwell Publishing Inc.;1978-ongoing;"Aquatic Science (Q1); Veterinary (miscellaneous) (Q1)"
4;20882;Veterinary Microbiology;journal;03781135;1,089;Q1;114;236;672;6580;1608;657;2,32;27,88;Netherlands;Elsevier BV;1976-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Microbiology (Q2)"
5;17777;Equine Veterinary Journal;journal;04251644;1,073;Q1;79;126;412;3010;611;368;1,45;23,89;United States;Wiley-Blackwell;1968-ongoing;"Equine (Q1); Medicine (miscellaneous) (Q1)"
6;19574;Veterinary Surgery;journal;1532950X, 01613499;1,068;Q1;71;101;239;2139;333;237;1,20;21,18;United States;Wiley-Blackwell;1972-ongoing;Veterinary (miscellaneous) (Q1)
7;17689;Avian Pathology;journal;03079457, 14653338;1,021;Q1;71;72;226;2498;431;221;1,92;34,69;United Kingdom;Taylor & Francis;1972-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
8;21288;Acta Tropica;journal;0001706X;0,959;Q1;89;140;425;5024;952;419;2,04;35,89;Netherlands;Elsevier BV;1947-1949, 1951-ongoing;"Insect Science (Q1); Parasitology (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2)"
9;18838;Preventive Veterinary Medicine;journal;01675877;0,931;Q1;84;143;305;3648;552;298;1,55;25,51;Netherlands;Elsevier BV;1982-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1)"
10;20491;Journal of Medical Entomology;journal;00222585;0,925;Q1;87;160;469;4623;798;466;1,62;28,89;United States;Oxford University Press;1964-ongoing;"Insect Science (Q1); Parasitology (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2)"
11;19518;Veterinary Dermatology;journal;09594493, 13653164;0,907;Q1;54;59;137;1636;209;125;1,57;27,73;United Kingdom;Blackwell Publishing Inc.;1990-ongoing;Veterinary (miscellaneous) (Q1)
12;19555;Veterinary Research;journal;09284249, 12979716;0,885;Q1;93;57;177;3580;422;171;2,63;62,81;United Kingdom;BioMed Central;1993-2016 (cancelled);Veterinary (miscellaneous) (Q1)
