Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;19434;MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control;journal;10575987, 15458601;9.589;Q1;134;13;53;0;846;53;15.78;0,00;United States;Centers for Disease Control and Prevention (CDC);1990-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;71056;MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC;journal;15458636, 15460738;7.182;Q1;90;13;10;0;117;10;6.33;0,00;United States;Centers for Disease Control and Prevention (CDC);2002-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
3;110325;Annual Review of Ecology, Evolution, and Systematics;journal;1543592X;6.136;Q1;194;21;65;3195;488;65;6.18;152,14;United States;Annual Reviews Inc.;2003-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
4;22230;Advances in Ecological Research;book series;00652504;5.02;Q1;54;19;6;3058;44;5;8.80;160,95;United States;Elsevier Inc.;1962, 1964, 1966-1969, 1971, 1974-1975, 1977, 1980, 1982-1984, 1986-1995, 1997, 1999-2001, 2003-2006, 2008-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
5;21848;Global Biogeochemical Cycles;journal;08866236;4.958;Q1;164;85;151;4642;837;148;4.71;54,61;United States;Wiley-Blackwell;1987-ongoing;"Atmospheric Science (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1)"
6;20022;Economic Policy;journal;02664658, 14680327;4.762;Q1;67;11;36;303;85;36;2.16;27,55;United Kingdom;Oxford University Press;1988-ongoing;"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)"
7;21537;Environmental Science & Technology;journal;0013936X, 15205851;3.367;Q1;345;814;1996;21824;6945;1734;3.82;26,81;United States;American Chemical Society;1958, 1967-ongoing;"Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Medicine (miscellaneous) (Q1)"
8;36084;Polish Botanical Studies, Guidebook Series;journal;08670749;3.2560000000000002;Q1;1;0;1;0;7;1;7.00;0,00;Poland;Polska Akademia Nauk;1992-1995, 1997;"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)"
9;110092;MMWR. Morbidity and mortality weekly report;journal;01492195, 1545861X;3.185;Q1;182;208;625;1754;2259;624;4.03;8,43;United States;US Department of Health and Human Services;1981-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
10;29602;Journal of Ecology;journal;00220477, 13652745;3.162;Q1;160;88;243;4829;800;239;2.75;54,88;United Kingdom;Blackwell Publishing Inc.;1976, 1979-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
11;17822;Conservation Biology;journal;15231739, 08888892;3.0660000000000003;Q1;201;200;504;7320;1507;475;2.99;36,60;United Kingdom;Blackwell Publishing Inc.;1987-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Medicine (miscellaneous) (Q1); Nature and Landscape Conservation (Q1)"
12;14005;Paleobiology;journal;00948373;3.049;Q1;85;61;126;3950;289;122;2.04;64,75;United Kingdom;Cambridge University Press;1975-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Paleontology (Q1)"
13;26239;Quaternary Science Reviews;journal;02773791;2.866;Q1;164;105;230;5423;627;221;2.62;51,65;United Kingdom;Elsevier Ltd.;1982-ongoing;"Archeology (Q1); Archeology (arts and humanities) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Geology (Q1); Global and Planetary Change (Q1)"
14;11400153329;Earth and Environmental Science Transactions of the Royal Society of Edinburgh;journal;17556910;2.824;Q1;52;19;58;1249;171;57;1.05;65,74;United Kingdom;Cambridge University Press;2007-ongoing;"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)"
15;18854;Water Resources Research;journal;00431397;2.74;Q1;183;366;984;11775;2087;912;2.14;32,17;United States;Wiley-Blackwell;1965-ongoing;Water Science and Technology (Q1)
16;15131;Global Change Biology;journal;13652486, 13541013;2.734;Q1;217;78;194;3800;793;194;3.26;48,72;United Kingdom;Blackwell Publishing Inc.;1995-ongoing;"Ecology (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1)"
17;28428;Journal of Geophysical Research;journal;01480227;2.62;Q1;295;1886;4860;60429;13358;4774;2.56;32,04;United States;Wiley-Blackwell;1968-1971, 1973-ongoing;"Aquatic Science (Q1); Atmospheric Science (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Earth-Surface Processes (Q1); Ecology (Q1); Forestry (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1); Oceanography (Q1); Paleontology (Q1); Soil Science (Q1); Space and Planetary Science (Q1); Water Science and Technology (Q1)"
18;24497;Wildlife Monographs;journal;00840173;2.6180000000000003;Q1;37;2;17;273;48;17;3.46;136,50;United States;Wiley-Blackwell;1981-ongoing;"Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)"
19;20287;Ecological Applications;journal;10510761;2.5980000000000003;Q1;193;128;369;7006;1237;365;3.15;54,73;United States;Wiley-Blackwell;1991-ongoing;Ecology (Q1)
20;130030;Proceedings of the Royal Society B: Biological Sciences;journal;14712954, 09628452;2.552;Q1;221;363;871;13218;2661;855;2.80;36,41;United Kingdom;The Royal Society;1947, 1949-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1)"
21;19618;Applied and Environmental Microbiology;journal;00992240, 10985336;2.335;Q1;293;891;2475;31828;9358;2424;3.61;35,72;United States;American Society for Microbiology;1976-ongoing;"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Ecology (Q1); Food Science (Q1)"
22;21100297824;Freshwater Science;journal;21619549, 21619565;2.322;Q1;104;40;170;2110;401;167;2.13;52,75;United States;University of Chicago Press;2012-ongoing;"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
23;25094;Environmental Toxicology and Chemistry;journal;07307268;2.292;Q1;154;392;960;13015;2427;949;2.47;33,20;United States;Wiley-Blackwell;1982-ongoing;"Environmental Chemistry (Q1); Health, Toxicology and Mutagenesis (Q1)"
24;24155;Journal of Atmospheric Chemistry;journal;15730662, 01677764;2.278;Q1;66;53;151;2199;364;147;2.14;41,49;Netherlands;Kluwer Academic Publishers;1983-ongoing;"Atmospheric Science (Q1); Environmental Chemistry (Q1)"
25;12169;Marine Ecology - Progress Series;journal;01718630, 16161599;2.261;Q1;168;448;1267;21946;3100;1251;2.07;48,99;Germany;Inter-Research Science Publishing;1985-1986, 1990-ongoing;"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
26;23255;Marine Chemistry;journal;03044203;2.241;Q1;117;101;277;4269;684;271;2.30;42,27;Netherlands;Elsevier BV;1972-ongoing;"Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Oceanography (Q1); Water Science and Technology (Q1)"
27;16894;Biogeochemistry;journal;01682563, 1573515X;2.129;Q1;130;63;185;2887;461;184;2.06;45,83;Netherlands;Kluwer Academic Publishers;1984-ongoing;"Earth-Surface Processes (Q1); Environmental Chemistry (Q1); Water Science and Technology (Q1)"
28;23375;Journal of Environmental Quality;journal;00472425;2.1069999999999998;Q1;150;252;598;8107;1431;587;2.47;32,17;United States;American Society of Agronomy, Inc.;1972-ongoing;"Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)"
29;23352;Journal of Environmental Economics and Management;journal;10960449, 00950696;2.064;Q1;105;35;147;903;242;147;1.55;25,80;United States;Elsevier Inc.;1974-ongoing;"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)"
30;25125;Journal of Analytical Toxicology;journal;01464760;2.019;Q1;69;117;337;2065;753;283;2.83;17,65;United States;Perston Publications, Inc.;1977-ongoing;"Analytical Chemistry (Q1); Chemical Health and Safety (Q1); Environmental Chemistry (Q1); Health, Toxicology and Mutagenesis (Q1); Toxicology (Q1)"
31;19263;Journal of Vegetation Science;journal;11009233;2.006;Q1;106;96;283;4582;668;280;2.06;47,73;United States;Wiley-Blackwell;1990-ongoing;"Ecology (Q1); Plant Science (Q1)"
32;36538;Soil Use and Management;journal;14752743, 02660032;2.0;Q1;69;41;128;941;182;126;1.44;22,95;United States;Wiley-Blackwell;1985-ongoing;"Agronomy and Crop Science (Q1); Pollution (Q1); Soil Science (Q1)"
33;29460;Ground Water;journal;0017467X;1.9769999999999999;Q1;83;118;352;2617;502;346;1.64;22,18;United States;Wiley-Blackwell;1963-ongoing;"Computers in Earth Sciences (Q1); Water Science and Technology (Q1)"
34;23357;Atmospheric Environment;journal;13522310;1.9469999999999998;Q1;211;451;1222;12243;2467;1180;1.95;27,15;Netherlands;Elsevier BV;1968-1989, 1994-ongoing;"Atmospheric Science (Q1); Environmental Science (miscellaneous) (Q1)"
35;16343;Applied Catalysis B: Environmental;journal;18733883, 09263373;1.921;Q1;205;104;348;3260;959;330;2.53;31,35;Netherlands;Elsevier BV;1992-ongoing;"Catalysis (Q1); Environmental Science (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
36;19642;Journal of the American Water Works Association;journal;0003150X;1.8619999999999999;Q1;67;90;274;1756;366;274;1.28;19,51;United States;American Water Works Association;1969-ongoing;"Chemistry (miscellaneous) (Q1); Water Science and Technology (Q1)"
37;18567;Fungal Diversity;journal;15602745;1.847;Q1;80;32;15;610;25;15;1.67;19,06;Netherlands;Springer Netherlands;1998-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
38;13274;Environment and Planning D: Society and Space;journal;02637758;1.775;Q1;93;35;90;2451;184;90;1.90;70,03;United Kingdom;SAGE Publications Inc.;1983-ongoing;"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)"
39;18609;Journal of Wildlife Management;journal;19372817, 0022541X;1.7109999999999999;Q1;98;152;444;5566;678;440;1.43;36,62;United States;Wiley-Blackwell;1973-1974, 1976-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)"
40;29547;Journal of Applied Ecology;journal;00218901, 13652664;1.709;Q1;159;86;354;3963;705;350;1.61;46,08;United Kingdom;Blackwell Publishing Inc.;1973-ongoing;Ecology (Q1)
41;22634;Holocene;journal;14770911, 09596836;1.679;Q1;106;71;173;3479;330;172;1.85;49,00;United States;SAGE Publications;1991-ongoing;"Archeology (arts and humanities) (Q1); Earth-Surface Processes (Q1); Ecology (Q1); Global and Planetary Change (Q1); Paleontology (Q1)"
