Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2008);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;19555;Veterinary Research;journal;09284249, 12979716;1.578;Q1;93;58;169;3760;628;165;3.07;64,83;United Kingdom;BioMed Central;1993-2016 (cancelled);Veterinary (miscellaneous) (Q1)
2;18316;Journal of Veterinary Internal Medicine;journal;08916640;1.3730000000000002;Q1;92;210;533;6364;959;495;1.75;30,30;United States;Wiley-Blackwell;1987-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
3;21376;Vaccine;journal;0264410X, 13588745;1.355;Q1;164;908;2656;35142;8409;2536;3.3;38,70;Netherlands;Elsevier BV;1983-ongoing;"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q2); Molecular Medicine (Q2)"
4;19574;Veterinary Surgery;journal;1532950X, 01613499;1.23;Q1;71;86;339;2037;466;310;1.48;23,69;United States;Wiley-Blackwell;1972-ongoing;Veterinary (miscellaneous) (Q1)
5;20882;Veterinary Microbiology;journal;03781135;1.164;Q1;114;330;809;10168;1864;783;2.25;30,81;Netherlands;Elsevier BV;1976-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Microbiology (Q2)"
6;20491;Journal of Medical Entomology;journal;00222585;1.154;Q1;87;129;455;4387;924;451;1.89;34,01;United States;Oxford University Press;1964-ongoing;"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2); Parasitology (Q2)"
7;19537;Veterinary Parasitology;journal;03044017;1.117;Q1;109;317;1125;9421;2181;1099;2.0;29,72;Netherlands;Elsevier BV;1975-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Parasitology (Q2)"
8;18838;Preventive Veterinary Medicine;journal;01675877;1.056;Q1;84;102;374;3017;644;366;1.45;29,58;Netherlands;Elsevier BV;1982-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1)"
9;22916;Medical Mycology;journal;13693786, 14602709;1.029;Q1;77;114;360;3700;850;347;2.13;32,46;United Kingdom;Oxford University Press;1996-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2)"
10;21288;Acta Tropica;journal;0001706X;1.02;Q1;89;160;395;5738;891;389;1.75;35,86;Netherlands;Elsevier BV;1947-1949, 1951-ongoing;"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2); Parasitology (Q2)"
11;18903;Theriogenology;journal;0093691X;0.99;Q1;118;283;1108;10696;2427;1078;2.08;37,80;Netherlands;Elsevier BV;1974-ongoing;"Animal Science and Zoology (Q1); Equine (Q1); Food Animals (Q1); Small Animals (Q1)"
12;19551;Veterinary Radiology and Ultrasound;journal;17408261, 10588183;0.968;Q1;54;104;266;1824;271;260;0.88;17,54;United Kingdom;Blackwell Publishing Inc.;1961-ongoing;Veterinary (miscellaneous) (Q1)
13;19576;Veterinary therapeutics : research in applied veterinary medicine;journal;15283593;0.935;Q1;29;24;91;484;117;90;1.05;20,17;United States;Veterinary Learning Systems;2000-2010;Veterinary (miscellaneous) (Q1)
14;19538;Veterinary Pathology;journal;15442217, 03009858;0.91;Q1;80;145;361;3160;593;332;1.49;21,79;United States;SAGE Publications;1964-ongoing;Veterinary (miscellaneous) (Q1)
15;17687;Avian Diseases;journal;00052086;0.903;Q1;72;114;406;3142;682;400;1.54;27,56;United States;American Association of Avian Pathologists Inc.;1963, 1965-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
16;17778;Medical and Veterinary Entomology;journal;0269283X, 13652915;0.897;Q1;74;51;163;2229;320;160;1.82;43,71;United Kingdom;Blackwell Publishing Inc.;1987-ongoing;"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Parasitology (Q2)"
17;17123;Journal of the American Veterinary Medical Association;journal;00031488;0.887;Q1;100;441;1395;7425;1435;1048;1.14;16,84;United States;American Veterinary Medical Association;1945-ongoing;Veterinary (miscellaneous) (Q1)
18;17689;Avian Pathology;journal;03079457, 14653338;0.884;Q1;71;79;212;2573;369;208;1.64;32,57;United Kingdom;Taylor & Francis;1972-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
19;17121;American Journal of Veterinary Research;journal;00029645;0.8490000000000001;Q1;82;226;796;7415;1093;757;1.29;32,81;United States;American Veterinary Medical Association;1945-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
20;13527;Journal of Fish Diseases;journal;13652761, 01407775;0.82;Q1;75;101;237;2961;383;230;1.41;29,32;United Kingdom;Blackwell Publishing Inc.;1978-ongoing;"Veterinary (miscellaneous) (Q1); Aquatic Science (Q2)"
21;24609;Applied Animal Behaviour Science;journal;01681591;0.818;Q1;95;212;484;7903;988;475;1.8;37,28;Netherlands;Elsevier BV;1984-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1)"
22;92166;Small Ruminant Research;journal;09214488;0.807;Q1;71;207;641;6855;835;634;1.15;33,12;Netherlands;Elsevier BV;1988-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1)"
23;17777;Equine Veterinary Journal;journal;04251644;0.799;Q1;79;114;450;2865;552;406;1.12;25,13;United States;Wiley-Blackwell;1968-ongoing;"Equine (Q1); Medicine (miscellaneous) (Q1)"
24;18313;Journal of Veterinary Diagnostic Investigation;journal;10406387;0.7979999999999999;Q1;70;157;357;3214;543;351;1.45;20,47;United States;SAGE Publications Inc.;1989-ongoing;Veterinary (miscellaneous) (Q1)
25;17755;Domestic Animal Endocrinology;journal;07397240;0.774;Q2;67;86;209;3878;467;207;1.91;45,09;Netherlands;Elsevier BV;1984-ongoing;"Animal Science and Zoology (Q1); Endocrinology (Q2); Food Animals (Q2)"
26;19498;Veterinary Anaesthesia and Analgesia;journal;14672995, 14672987;0.759;Q1;47;63;160;1775;226;144;1.25;28,17;United Kingdom;Elsevier Ltd.;1970-1974, 1976-1978, 1980, 1982-1986, 1988-1995, 2003-ongoing;Veterinary (miscellaneous) (Q1)
27;4700151709;Journal of Veterinary Cardiology;journal;17602734;0.738;Q1;31;21;61;502;56;54;0.87;23,90;Netherlands;Elsevier BV;1999-ongoing;"Veterinary (miscellaneous) (Q1); Physiology (Q3)"
28;16700154702;Veterinary and comparative oncology;journal;14765829;0.728;Q1;29;25;23;1090;20;22;0.91;43,60;United Kingdom;Blackwell Publishing Inc.;2007-ongoing;Veterinary (miscellaneous) (Q1)
29;18297;Journal of Feline Medicine and Surgery;journal;1098612X;0.7240000000000001;Q1;52;90;170;2153;194;159;1.06;23,92;United Kingdom;SAGE Publications Inc.;1999-ongoing;Small Animals (Q1)
30;29580;Journal of Comparative Pathology;journal;00219975;0.7190000000000001;Q1;65;70;221;1824;339;220;1.57;26,06;United Kingdom;W. B. Saunders Co., Ltd.;1950-ongoing;"Veterinary (miscellaneous) (Q1); Pathology and Forensic Medicine (Q2)"
31;18300;Journal of Small Animal Practice;journal;00224510;0.713;Q1;61;150;402;2611;322;338;0.88;17,41;United States;Wiley-Blackwell;1960-ongoing;Small Animals (Q1)
32;22583;Journal of Medical Primatology;journal;00472565, 16000684;0.705;Q1;39;79;130;1897;168;118;1.01;24,01;United Kingdom;Blackwell Publishing Inc.;1972-ongoing;"Veterinary (miscellaneous) (Q1); Animal Science and Zoology (Q2)"
33;19520;Veterinary Immunology and Immunopathology;journal;01652427;0.705;Q1;86;222;572;8955;1117;562;1.84;40,34;Netherlands;Elsevier BV;1979-ongoing;"Veterinary (miscellaneous) (Q1); Immunology (Q3)"
34;20340;Parasitology Research;journal;14321955, 09320113;0.701;Q1;84;435;919;12424;1401;907;1.49;28,56;Germany;Springer Verlag;1987-ongoing;"Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2); Insect Science (Q2); Medicine (miscellaneous) (Q2); Parasitology (Q3)"
35;19524;Veterinary Journal;journal;10900233;0.7;Q1;94;262;486;9144;705;396;1.65;34,90;United Kingdom;Elsevier Ltd.;1997-ongoing;"Veterinary (miscellaneous) (Q1); Animal Science and Zoology (Q2)"
