Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;23340;Chemical Reviews;journal;15206890, 00092665;18.718;Q1;745;354;718;153694;45616;683;61.55;434.16;United States;Northern America;American Chemical Society;1924-2021;Chemistry (miscellaneous) (Q1)
2;23350;Chemical Society Reviews;journal;03060012, 14604744;14.529;Q1;552;388;791;93782;41766;779;54.69;241.71;United Kingdom;Western Europe;Royal Society of Chemistry;1972-2021;Chemistry (miscellaneous) (Q1)
3;17854;Nature Materials;journal;14764660, 14761122;12.229;Q1;507;304;784;11394;19224;542;23.08;37.48;United Kingdom;Western Europe;Nature Publishing Group;2002-2021;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
4;21100826569;Nature Reviews Chemistry;journal;23973358;11.811;Q1;67;98;231;8014;4454;134;16.93;81.78;United Kingdom;Western Europe;Nature Publishing Group;2017-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
5;18100156701;Nature Chemistry;journal;17554330, 17554349;8.384;Q1;249;229;607;7815;9695;476;14.95;34.13;United Kingdom;Western Europe;Nature Publishing Group;2009-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
6;21101047377;EnergyChem;journal;25897780;7.488;Q1;21;22;33;5483;1049;32;31.79;249.23;Netherlands;Western Europe;Elsevier BV;2019-2021;"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1)"
7;22657;Accounts of Chemical Research;journal;00014842, 15204898;7.469;Q1;415;404;915;27129;21321;890;22.32;67.15;United States;Northern America;American Chemical Society;1968-2021;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
8;21100832985;ACS Energy Letters;journal;23808195;7.362;Q1;134;485;1260;26705;26064;1187;19.54;55.06;United States;Northern America;American Chemical Society;2016-2021;"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
9;21101046230;Electrochemical Energy Reviews;journal;25208136;7.061;Q1;34;31;67;6199;1869;67;28.54;199.97;Germany;Western Europe;Springer Science and Business Media B.V.;2018-2021;"Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q1); Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1)"
10;21100788876;Chem;journal;24519294;6.073;Q1;102;238;738;11688;12332;705;16.16;49.11;United States;Northern America;Elsevier Inc.;2016-2021;"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)"
