Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2012);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;23340;Chemical Reviews;journal;15206890, 00092665;20.653;Q1;609;184;583;61753;24653;554;44.37;335.61;United States;American Chemical Society;1924-ongoing;Chemistry (miscellaneous) (Q1)
2;17854;Nature Materials;journal;14764660, 14761122;18.482;Q1;403;293;706;6826;15726;563;26.8;23.30;United Kingdom;Nature Publishing Group;2002-ongoing;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
3;23350;Chemical Society Reviews;journal;03060012, 14604744;15.022;Q1;432;412;860;63048;26795;836;26.1;153.03;United Kingdom;Royal Society of Chemistry;1972-ongoing;Chemistry (miscellaneous) (Q1)
4;22657;Accounts of Chemical Research;journal;00014842, 15204898;12.299;Q1;354;210;476;10354;11351;451;22;49.30;United States;American Chemical Society;1968-ongoing;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
5;17853;Nano Letters;journal;15306992, 15306984;10.269;Q1;430;1100;2657;39353;39523;2611;14.2;35.78;United States;American Chemical Society;2001-ongoing;"Bioengineering (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Nanoscience and Nanotechnology (Q1)"
6;26465;Progress in Polymer Science;journal;00796700;10.002;Q1;244;56;131;13020;4011;129;29.76;232.50;Netherlands;Elsevier BV;1967, 1970-1971, 1975, 1977-1978, 1980-1986, 1988-ongoing;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
7;18100156701;Nature Chemistry;journal;17554330, 17554349;9.163;Q1;187;231;641;6662;7600;514;14.82;28.84;United Kingdom;Nature Publishing Group;2009-ongoing;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
8;26555;Annual Review of Physical Chemistry;book series;0066426X, 15451593;8.159;Q1;151;30;77;3391;1156;76;14.31;113.03;United States;Annual Reviews Inc.;1975, 1983, 1985, 1988-ongoing;Physical and Theoretical Chemistry (Q1)
9;25781;Aldrichimica Acta;journal;00025100;7.372;Q1;57;6;24;596;229;19;10.42;99.33;United States;Aldrich Chemical Co.;1990-ongoing;Organic Chemistry (Q1)
10;22687;Angewandte Chemie - International Edition;journal;14337851, 15213773;6.407;Q1;482;2322;5581;115150;63073;5497;11.08;49.59;United Kingdom;John Wiley & Sons Ltd.;1962-ongoing;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
11;22680;Journal of the American Chemical Society;journal;15205126, 00027863;6.211;Q1;542;3168;9403;156494;105540;9235;11.37;49.40;United States;American Chemical Society;1879-ongoing;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
12;19700182758;Nature Communications;journal;20411723;5.866;Q1;248;725;601;29819;6109;598;10.22;41.13;United Kingdom;Nature Publishing Group;2010-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
13;25143;Advanced Functional Materials;journal;1616301X;5.689;Q1;269;576;1447;28327;16141;1416;10.27;49.18;United Kingdom;John Wiley & Sons Ltd.;2000-ongoing;"Biomaterials (Q1); Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1)"
14;19700200838;Chemical Science;journal;20416520, 20416539;5.217;Q1;135;462;436;27780;3688;429;8.6;60.13;United Kingdom;Royal Society of Chemistry;2010-ongoing;Chemistry (miscellaneous) (Q1)
15;23470;Coordination Chemistry Reviews;journal;00108545;5.097;Q1;254;144;477;23316;5759;447;11.67;161.92;Netherlands;Elsevier BV;1966-ongoing;Chemistry (miscellaneous) (Q1)
16;17399;Current Opinion in Chemical Biology;journal;13675931;4.69;Q1;170;85;316;4155;3185;288;10.61;48.88;Netherlands;Elsevier BV;1997-ongoing;"Analytical Chemistry (Q1); Biochemistry (Q1)"
17;3200147828;Small;journal;16136829, 16136810;4.52;-;195;468;1188;21856;10569;1175;8.44;46.70;Germany;Wiley - V C H Verlag GmbbH & Co.;2005-ongoing;"Biomaterials (Q1); Biotechnology (Q1); Engineering (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
18;12878;Chemistry of Materials;journal;15205002, 08974756;4.181;Q1;337;588;2293;29750;19849;2257;8.86;50.60;United States;American Chemical Society;1989-ongoing;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1)"
19;19400156815;Annual Review of Analytical Chemistry;book series;19361335, 19361327;4.077;Q1;61;23;63;2451;662;62;9.9;106.57;United States;Annual Reviews Inc.;2008-ongoing;"Analytical Chemistry (Q1); Medicine (miscellaneous) (Q1)"
20;19600166212;Journal of Physical Chemistry Letters;journal;19487185;3.965;-;161;663;1207;25496;8080;1146;7.05;38.46;United States;American Chemical Society;2010-ongoing;"Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
21;26556;Catalysis Reviews - Science and Engineering;journal;01614940;3.803;Q1;93;10;23;1660;233;23;7.06;166.00;United States;Marcel Dekker Inc.;1979-1980, 1988, 1990-ongoing;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
22;26968;Journal of Photochemistry and Photobiology C: Photochemistry Reviews;journal;13895567;3.714;Q1;80;17;43;2462;411;41;9.14;144.82;Netherlands;Elsevier BV;2000-ongoing;"Catalysis (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
23;9500153997;Polymer Reviews;journal;15583724, 15583716;3.655;Q1;79;11;49;1784;471;48;8.47;162.18;United States;Marcel Dekker Inc.;2006-ongoing;"Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
24;21972;Topics in Current Chemistry;book series;03401022, 23648961;3.642;Q1;85;188;167;22952;1035;144;7.73;122.09;Germany;Springer Verlag;1974-1977, 1979-1983, 1987, 2005-ongoing;Chemistry (miscellaneous) (Q1)
25;26371;Natural Product Reports;journal;02650568, 14604752;3.623;Q1;157;72;243;10736;2446;231;10.23;149.11;United Kingdom;Royal Society of Chemistry;1984-ongoing;"Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1)"
26;12229;Mass Spectrometry Reviews;journal;10982787, 02777037;3.597;Q1;116;24;133;4976;1220;123;8.67;207.33;United States;John Wiley & Sons Inc.;1982-ongoing;"Analytical Chemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Condensed Matter Physics (Q1); Spectroscopy (Q1)"
27;27476;Critical Reviews in Solid State and Materials Sciences;journal;10408436;3.435;Q1;49;10;27;1965;255;26;6.84;196.50;United Kingdom;Taylor & Francis;1977-1984, 1986-ongoing;"Chemical Engineering (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Physical and Theoretical Chemistry (Q1)"
28;14151;Molecular and Cellular Proteomics;journal;15359476, 15359484;3.354;Q1;169;315;690;17486;5288;676;7.64;55.51;United States;American Society for Biochemistry and Molecular Biology Inc.;2002-ongoing;"Analytical Chemistry (Q1); Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
29;26396;Organic Letters;journal;15237052, 15237060;3.338;Q1;220;1642;4539;66090;27916;4453;6.49;40.25;United States;American Chemical Society;1999-ongoing;"Biochemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
30;19700188418;Annual Review of Chemical and Biomolecular Engineering;journal;19475438, 19475446;3.167;Q1;47;24;41;2955;360;41;8.78;123.13;United States;Annual Reviews Inc.;2010-ongoing;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
31;26884;Current Opinion in Colloid and Interface Science;journal;13590294;3.133;Q1;131;49;192;3494;1522;171;7.6;71.31;United Kingdom;Elsevier Ltd.;1998-ongoing;"Colloid and Surface Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
32;22781;Chemical Communications;journal;13597345;3.118;Q1;297;3243;7634;108682;50949;7578;6.74;33.51;United Kingdom;Royal Society of Chemistry;1996-ongoing;"Catalysis (Q1); Ceramics and Composites (Q1); Chemistry (miscellaneous) (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1); Surfaces, Coatings and Films (Q1)"
