Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2005);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
54;5700165172;World Review of Science, Technology and Sustainable Development;journal;17412242, 17412234;0.112;Q3;13;21;15;816;2;15;0.13;38.86;United Kingdom;Western Europe;Inderscience Enterprises Ltd.;2007-2010, 2012-2020;Multidisciplinary (Q3)
55;25451;Transactions of Tianjin University;journal;10064982, 19958196;0.111;Q3;15;90;68;951;2;68;0.03;10.57;China;Asiatic Region;Tianjin Daxue/Tianjin University;2004-2020;Multidisciplinary (Q3)
56;26207;Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University;journal;02582724;0.111;Q3;20;175;311;1453;20;311;0.07;8.3;China;Asiatic Region;Science Press;1991, 1998, 2001-2019;Multidisciplinary (Q3)
57;19472;Beijing Daxue Xuebao (Ziran Kexue Ban)/Acta Scientiarum Naturalium Universitatis Pekinensis;journal;04798023;0.109;Q3;23;126;236;2114;34;236;0.1;16.78;China;Asiatic Region;Peking University;2001-2020;Multidisciplinary (Q3)
58;23716;Science, Technology and Society;journal;09730796, 09717218;0.107;Q3;20;0;57;0;7;53;0.08;0;India;Asiatic Region;Sage Publications India Pvt. Ltd;1996-2020;Multidisciplinary (Q3)
59;5800207553;Linguistics in the Netherlands;journal;09297332;0.106;Q4;13;19;58;347;13;58;0.23;18.26;Netherlands;Western Europe;John Benjamins Publishing Company;1996-2017, 2019;"Language and Linguistics (Q3); Linguistics and Language (Q3); Health Professions (miscellaneous) (Q4); Multidisciplinary (Q4); Psychology (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)"
60;22728;Zhongshan Daxue Xuebao/Acta Scientiarum Natralium Universitatis Sunyatseni;journal;05296579;0.105;Q4;11;153;278;1427;26;278;0.09;9.33;China;Asiatic Region;Journal of Zhongshan University;1980, 2001-2020;Multidisciplinary (Q4)
61;19400157142;Chiang Mai University Journal of Natural Sciences;journal;16851994;0.104;Q4;9;0;5;0;1;5;0.2;0;Thailand;Asiatic Region;Chiang Mai University;2003, 2006, 2009-2020;Multidisciplinary (Q4)
62;38404;Discovery and Innovation;journal;1015079X;0.104;Q4;7;42;100;847;5;97;0.08;20.17;Kenya;Africa;Academy Science Publishers;1994-2007, 2010;"Management of Technology and Innovation (Q4); Multidisciplinary (Q4)"
63;22966;Vestnik Rossijkoj Akademii Nauk;journal;08695873;0.104;Q4;12;0;578;0;19;578;0.03;0;Russian Federation;Eastern Europe;Izdatel'stvo Nauka;1996-2004;Multidisciplinary (Q4)
64;26195;Wuhan University Journal of Natural Sciences;journal;10071202, 19934998;0.104;Q4;19;216;281;2706;28;281;0.11;12.53;China;Asiatic Region;Wuhan University;1996, 1998-2019;Multidisciplinary (Q4)
65;1300147101;Foundations of Science;journal;12331821;0.103;Q4;23;17;16;470;3;16;0;27.65;Netherlands;Western Europe;Springer Netherlands;1995, 1997-2002, 2005-2020;"History and Philosophy of Science (Q4); Multidisciplinary (Q4)"
66;61482;Liaoning Gongcheng Jishu Daxue Xuebao (Ziran Kexue Ban)/Journal of Liaoning Technical University (Natural Science Edition);journal;10080562;0.103;Q4;15;372;361;2484;14;361;0.03;6.68;China;Asiatic Region;Liaoning Engineering Technology University Editorial;2001-2019;Multidisciplinary (Q4)
67;67311;Ciencia and Engenharia/ Science and Engineering Journal;journal;19834071, 0103944X;0.102;Q4;6;31;122;468;2;118;0.02;15.1;Brazil;Latin America;Universidade Federal de Uberlandia;1997-2018;Multidisciplinary (Q4)
68;19700173166;Acta Polytechnica Hungarica;journal;17858860;0.101;Q4;28;15;18;182;1;18;0.06;12.13;Hungary;Eastern Europe;Obuda University;2004-2020;"Engineering (miscellaneous) (Q4); Multidisciplinary (Q4)"
69;5800207374;Journal of the National Science Foundation of Sri Lanka;journal;13914588;0.101;Q4;16;40;36;503;1;36;0;12.58;Sri Lanka;Asiatic Region;National Science Foundation of Sri Lanka;1999-2019;Multidisciplinary (Q4)
70;38958;Research and Development (Barrington, Illinois);journal;07469179;0.101;Q4;3;0;52;0;0;15;0;0;United States;Northern America;Advantage Business Media;1984-1989, 1994-1996, 1998-1999, 2001-2002, 2007-2018;"Industrial and Manufacturing Engineering (Q3); Multidisciplinary (Q4)"
71;25966;Smithsonian;journal;00377333;0.101;Q4;7;286;560;0;12;293;0.04;0;United States;Northern America;Smithsonian Institution;1971, 1975-1981, 1983-1984, 1987, 1989, 1996-1998, 2000-2011, 2013-2018;"Anthropology (Q4); Arts and Humanities (miscellaneous) (Q4); Multidisciplinary (Q4)"
72;11200153546;Studies in Multidisciplinarity;book series;15710831;0.101;Q4;6;59;24;1522;0;23;0;25.8;Netherlands;Western Europe;Elsevier;2004-2005, 2007-2008;"Engineering (miscellaneous) (Q4); Multidisciplinary (Q4)"
73;5400152705;Archives des Sciences;journal;1661464X;0.1;Q4;13;25;40;530;1;37;0.04;21.2;Switzerland;Western Europe;Societe de Physique et d'Histoire Naturelle de Geneve;2004-2014, 2017-2018;Multidisciplinary (Q4)
74;24843;Bulletin de la Societe Royale des Sciences de Liege;journal;00379565;0.1;Q4;10;51;61;737;0;53;0;14.45;Belgium;Western Europe;Societe Royale des Sciences de Liege;1988, 1996-2019;Multidisciplinary (Q4)
75;22386;Hunan Daxue Xuebao/Journal of Hunan University Natural Sciences;journal;16742974, 10002472;0.1;Q4;15;187;281;1864;9;281;0.03;9.97;China;Asiatic Region;Hunan Daxue/Hunan University;1992-1993, 1996, 2001-2020;Multidisciplinary (Q4)
76;23467;Taiwan Review;journal;17275199, 17275148;0.1;Q4;2;123;126;0;0;119;0;0;Taiwan;Asiatic Region;Kwang Hwa Publishing Co.;2003-2019;Multidisciplinary (Q4)
77;145365;Jilin Daxue Xuebao (Gongxueban)/Journal of Jilin University (Engineering and Technology Edition);journal;16715497;;-;18;133;0;1313;0;0;0;9.87;China;Asiatic Region;Editorial Board of Jilin University;2005-2019;Multidisciplinary
78;145728;Journal of Shanghai Jiaotong University (Science);journal;10071172;;-;17;127;0;1394;0;0;0;10.98;China;Asiatic Region;Shanghai Jiao Tong University;2005-2020;Multidisciplinary
79;21100253049;Proceedings of Science;conference and proceedings;18248039;;-;17;764;268;12803;4;258;0.01;16.76;Italy;Western Europe;Sissa Medialab Srl;1998-2019;Multidisciplinary
80;19700200807;Research in Science and Technological Education;journal;14701138, 02635143;;-;31;12;39;448;20;34;0.56;37.33;United Kingdom;Western Europe;Taylor and Francis Ltd.;1983-2020;"Education; Multidisciplinary"
81;144725;Shenyang Jianzhu Daxue Xuebao (Ziran Kexue Ban)/Journal of Shenyang Jianzhu University (Natural Science);journal;16712021;;-;13;174;0;1862;0;0;0;10.7;China;Asiatic Region;Editorial Department of Journal of Shenyang Jianzhu University;2005-2019;Multidisciplinary
82;145055;Xi'an Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of Xi'an Shiyou University, Natural Sciences Edition;journal;1673064X;;-;13;128;0;1123;0;0;0;8.77;China;Asiatic Region;Xi'an Petroleum University;2005-2020;Multidisciplinary
