Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2010);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;16721;Annual Review of Plant Biology;journal;15452123, 15435008;15.802;Q1;272;29;74;4225;2217;74;30.41;145.69;United States;Northern America;Annual Reviews Inc.;1996-2021;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
2;11300153736;Annual Review of Pathology: Mechanisms of Disease;journal;15534006, 15534014;11.49;Q1;132;13;61;2126;1111;60;20.84;163.54;United States;Northern America;Annual Reviews Inc.;2006-2021;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
3;14365;Trends in Ecology and Evolution;journal;01695347, 18728383;9.614;Q1;357;107;339;6531;4311;250;12.33;61.04;United Kingdom;Western Europe;Elsevier Ltd.;1986-2021;Ecology, Evolution, Behavior and Systematics (Q1)
4;110325;Annual Review of Ecology, Evolution, and Systematics;book series;1543592X;8.734;Q1;223;18;96;2172;1291;96;11.83;120.67;United States;Northern America;Annual Reviews Inc.;2003-2020;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
5;14599;Ecology Letters;journal;1461023X, 14610248;8.607;Q1;282;146;387;7916;4561;384;10.96;54.22;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1998-2021;Ecology, Evolution, Behavior and Systematics (Q1)
6;4000151808;PLoS Genetics;journal;15537390, 15537404;8.111;Q1;244;470;1051;27218;10078;1031;9.05;57.91;United States;Northern America;Public Library of Science;2005-2021;"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
7;12977;PLoS Biology;journal;15449173, 15457885;7.847;Q1;281;287;847;12708;8922;813;9.57;44.28;United States;Northern America;Public Library of Science;2003-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
8;14305;Systematic Biology;journal;1076836X, 10635157;7.641;Q1;188;52;204;3476;2257;198;10.1;66.85;United Kingdom;Western Europe;Oxford University Press;1952, 1968-1975, 1977-1978, 1980-1982, 1984, 1986, 1988-1989, 1991-2021;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
9;16594;Plant Cell;journal;1532298X, 10404651;6.869;Q1;360;308;869;18951;8385;814;8.6;61.53;United States;Northern America;American Society of Plant Biologists;1989-2021;"Cell Biology (Q1); Plant Science (Q1)"
10;4700152228;Molecular Systems Biology;journal;17444292;6.588;Q1;156;114;258;5309;2799;251;9.31;46.57;United States;Northern America;Wiley-Blackwell;2005-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
