Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;16721;Annual Review of Plant Biology;journal;15452123, 15435008;14.404;Q1;272;28;86;4278;2232;85;23.38;152.79;United States;Northern America;Annual Reviews Inc.;1996-2021;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
2;11300153736;Annual Review of Pathology: Mechanisms of Disease;journal;15534006, 15534014;13.234;Q1;132;23;52;4146;1400;52;29.35;180.26;United States;Northern America;Annual Reviews Inc.;2006-2021;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
3;40944;Genome Biology;journal;14747596;11.203;Q1;264;244;792;12493;9628;733;11.31;51.2;United Kingdom;Western Europe;BioMed Central Ltd.;2000-2021;"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
4;14365;Trends in Ecology and Evolution;journal;01695347, 18728383;9.304;Q1;357;138;357;6688;4109;246;10.34;48.46;United Kingdom;Western Europe;Elsevier Ltd.;1986-2021;Ecology, Evolution, Behavior and Systematics (Q1)
5;12216;Molecular Biology and Evolution;journal;15371719, 07374038;8.935;Q1;228;302;839;16617;12558;772;5.78;55.02;United Kingdom;Western Europe;Oxford University Press;1983-2021;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)"
6;4700152228;Molecular Systems Biology;journal;17444292;8.774;Q1;156;45;214;2518;2016;205;8.51;55.96;United States;Northern America;Wiley-Blackwell;2005-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
7;110325;Annual Review of Ecology, Evolution, and Systematics;book series;1543592X;8.174;Q1;223;22;83;3192;1055;83;11.22;145.09;United States;Northern America;Annual Reviews Inc.;2003-2020;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
8;14599;Ecology Letters;journal;1461023X, 14610248;7.822;Q1;282;151;485;8385;5407;478;9.66;55.53;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1998-2021;Ecology, Evolution, Behavior and Systematics (Q1)
9;17269;Studies in Mycology;journal;01660616;7.735;Q1;102;16;44;1847;700;41;14.43;115.44;Netherlands;Western Europe;Westerdijk Fungal Biodiversity Institute;1996, 1998-2000, 2002-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)"
10;19133;Annual Review of Entomology;journal;00664170, 15454487;7.48;Q1;209;26;92;3573;1519;91;14.15;137.42;United States;Northern America;Annual Reviews Inc.;1961-1963, 1966-1967, 1969-1979, 1981-2021;"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)"
11;14305;Systematic Biology;journal;1076836X, 10635157;6.191;Q1;188;69;219;5301;1890;211;8.03;76.83;United Kingdom;Western Europe;Oxford University Press;1952, 1968-1975, 1977-1978, 1980-1982, 1984, 1986, 1988-1989, 1991-2021;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
12;16594;Plant Cell;journal;1532298X, 10404651;5.776;Q1;360;208;1030;12092;8354;920;7.61;58.13;United States;Northern America;American Society of Plant Biologists;1989-2021;"Cell Biology (Q1); Plant Science (Q1)"
13;64345;Ecological Monographs;journal;00129615;5.464;Q1;161;30;86;3003;856;83;9.1;100.1;United States;Northern America;Wiley-Blackwell;1974-1977, 1979-1980, 1987-2021;Ecology, Evolution, Behavior and Systematics (Q1)
