Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;23340;Chemical Reviews;journal;15206890, 00092665;20.847;Q1;656;240;821;96888;45315;775;53.9;403.7;United States;Northern America;American Chemical Society;1924-2020;Chemistry (miscellaneous) (Q1)
2;21100826569;Nature Reviews Chemistry;journal;23973358;15.61;Q1;33;84;141;7104;2551;76;33.57;84.57;United Kingdom;Western Europe;Nature Publishing Group;2017-2020;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
3;17854;Nature Materials;journal;14764660, 14761122;14.862;Q1;448;300;801;9506;19963;608;30.09;31.69;United Kingdom;Western Europe;Nature Publishing Group;2002-2020;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
4;23350;Chemical Society Reviews;journal;03060012, 14604744;14.49;Q1;471;275;941;40057;38365;886;41.98;145.66;United Kingdom;Western Europe;Royal Society of Chemistry;1972-2020;Chemistry (miscellaneous) (Q1)
5;18100156701;Nature Chemistry;journal;17554330, 17554349;9.927;Q1;212;210;693;6857;11056;565;18.88;32.65;United Kingdom;Western Europe;Nature Publishing Group;2009-2020;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
6;21100901949;Nano Futures;journal;23991984;8.711;Q1;9;17;56;2226;176;2;88;130.94;United Kingdom;Western Europe;Institute of Physics Publishing;2017-2020;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1)"
7;22657;Accounts of Chemical Research;journal;00014842, 15204898;8.693;Q1;376;336;955;18888;19555;929;20.14;56.21;United States;Northern America;American Chemical Society;1968-2020;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
8;21100832985;ACS Energy Letters;journal;23808195;8.057;Q1;75;408;1022;18671;17153;947;18.43;45.76;United States;Northern America;American Chemical Society;2016-2020;"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
9;22680;Journal of the American Chemical Society;journal;15205126, 00027863;6.976;Q1;582;2514;7611;138621;113186;7443;15;55.14;United States;Northern America;American Chemical Society;1879-2020;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
10;26465;Progress in Polymer Science;journal;00796700;6.21;Q1;266;60;158;17176;4228;157;23.28;286.27;Netherlands;Western Europe;Elsevier Ltd.;1967, 1970-1971, 1975, 1977-1978, 1980-1986, 1988-2020;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
11;21100788876;Chem;journal;24519294;6.144;Q1;54;230;519;11064;6394;454;13.81;48.1;United States;Northern America;Elsevier Inc.;2016-2020;"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)"
