Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21206;Nature;journal;14764687, 00280836;16.345;Q1;1159;3131;9142;48667;125904;4568;25.05;15,54;United Kingdom;Western Europe;Nature Publishing Group;1869-2020;Multidisciplinary (Q1)
2;23571;Science;journal;10959203, 00368075;13.251;Q1;1124;2097;6765;37994;105355;4549;21.10;18,12;United States;Northern America;American Association for the Advancement of Science;1880-1881, 1883-2020;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
3;21100457028;Science advances;journal;23752548;6.267;Q1;102;914;1526;45091;20245;1511;12.84;49,33;United States;Northern America;American Association for the Advancement of Science;2015-2020;Multidisciplinary (Q1)
4;21121;Proceedings of the National Academy of Sciences of the United States of America;journal;10916490, 00278424;5.601;Q1;737;3870;11784;168480;102600;9962;9.55;43,53;United States;Northern America;National Academy of Sciences;1945-1951, 1961-2020;Multidisciplinary (Q1)
5;21100409368;National Science Review;journal;20955138, 2053714X;1.896;Q1;39;129;256;5134;1106;145;6.77;39,80;United Kingdom;Western Europe;Oxford University Press;2014-2020;Multidisciplinary (Q1)
6;21100200805;Scientific Reports;journal;20452322;1.414;Q1;179;18670;57873;850642;251411;55070;4.24;45,56;United Kingdom;Western Europe;Nature Publishing Group;2011-2020;Multidisciplinary (Q1)
7;21100446014;Royal Society Open Science;journal;20545703;1.131;Q1;37;1034;1360;50290;3733;1313;2.73;48,64;United Kingdom;Western Europe;The Royal Society;2014-2020;Multidisciplinary (Q1)
8;10600153309;PLoS ONE;journal;19326203;1.100;-;300;18859;73994;864728;227371;69832;2.94;45,85;United States;Northern America;Public Library of Science;2001, 2006-2020;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
9;19700168304;Journal of Advanced Research;journal;20901232;1.097;Q1;45;51;265;3176;1739;257;5.63;62,27;Egypt;Africa/Middle East;Cairo University;2010-2020;Multidisciplinary (Q1)
10;21100405003;Science Bulletin;journal;20959273, 20959281;1.046;Q1;101;262;824;9789;3074;692;5.15;37,36;Netherlands;Western Europe;Elsevier BV;2015-2020;Multidisciplinary (Q1)
11;22367;Progress in Natural Science: Materials International;journal;10020071;0.924;Q1;54;102;296;4018;1131;293;3.46;39,39;Japan;Asiatic Region;Elsevier BV;1996-2020;"Materials Science (miscellaneous) (Q1); Multidisciplinary (Q1)"
