Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2007);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21206;Nature;journal;14764687, 00280836;10.344;Q1;1159;2466;8011;34046;93107;5414;17.19;13,81;United Kingdom;Western Europe;Nature Publishing Group;1869-2020;Multidisciplinary (Q1)
2;23571;Science;journal;10959203, 00368075;10.072;Q1;1124;2358;7252;32181;84510;4921;15.76;13,65;United States;Northern America;American Association for the Advancement of Science;1880-1881, 1883-2020;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
3;21121;Proceedings of the National Academy of Sciences of the United States of America;journal;10916490, 00278424;6.867;Q1;737;3768;10420;142792;105813;9508;10.64;37,90;United States;Northern America;National Academy of Sciences;1945-1951, 1961-2020;Multidisciplinary (Q1)
4;10600153309;PLoS ONE;journal;19326203;1.379;-;300;1235;137;55513;306;137;2.23;44,95;United States;Northern America;Public Library of Science;2001, 2006-2020;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
5;27733;Latin American Research Review;journal;00238791, 15424278;1.153;-;45;21;88;1217;126;81;1.27;57,95;United States;Northern America;Latin American Studies Association;1970, 1978-2020;"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
6;19700185300;Science in China, Series A: Mathematics, Physics, Astronomy;journal;10069283;0.818;Q1;33;0;12;0;10;12;0.00;0,00;China;Asiatic Region;Gordon and Breach Science Publishers;1996-2002, 2004;Multidisciplinary (Q1)
7;12337;International Journal of Bifurcation and Chaos in Applied Sciences and Engineering;journal;17936551, 02181274;0.711;Q1;95;295;800;6914;972;796;1.11;23,44;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1996-2020;"Engineering (miscellaneous) (Q1); Multidisciplinary (Q1); Applied Mathematics (Q2); Modeling and Simulation (Q2)"
8;23030;Journal of the Royal Society of New Zealand;journal;03036758;0.578;Q1;37;11;49;464;45;48;1.09;42,18;United Kingdom;Western Europe;Taylor and Francis Ltd.;1971-2020;Multidisciplinary (Q1)
9;22251;Pacific Science;journal;15346188, 00308870;0.502;Q1;40;44;121;1670;119;120;0.75;37,95;United States;Northern America;University of Hawaii Press;1979-2019;Multidisciplinary (Q1)
10;19298;American Scientist;trade journal;00030996;0.377;Q1;58;81;132;520;96;91;1.11;6,42;United States;Northern America;Sigma Xi, Scientific Research Society;1946-1951, 1961-2016;Multidisciplinary (Q1)
11;23100;Proceedings of the Japan Academy Series B: Physical and Biological Sciences;journal;13492896, 03862208;0.374;Q1;50;28;138;1277;141;135;1.02;45,61;Japan;Asiatic Region;Japan Academy;1977-2020;"Multidisciplinary (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q3)"
12;25823;Complexity;journal;10762787, 10990526;0.357;Q1;52;38;112;1016;98;99;0.95;26,74;Egypt;Africa/Middle East;Hindawi Limited;1995-2020;Multidisciplinary (Q1)
13;145331;Brazilian Archives of Biology and Technology;journal;15168913;0.344;Q1;45;143;458;4653;273;458;0.48;32,54;Brazil;Latin America;Instituto de Tecnologia do Parana;1998-2019;Multidisciplinary (Q1)
14;18659;Anais da Academia Brasileira de Ciencias;journal;00013765, 16782690;0.340;Q1;54;62;202;2383;234;201;1.09;38,44;Brazil;Latin America;Academia Brasileira de Ciencias;1945-1946, 1949, 1970-1992, 1994-2020;Multidisciplinary (Q1)
15;20699;Current Science;journal;00113891;0.334;Q1;110;826;2268;13365;1493;1627;0.85;16,18;India;Asiatic Region;Indian Academy of Sciences;1945-1951, 1973-1989, 1993-2020;Multidisciplinary (Q1)
16;21100405003;Science Bulletin;journal;20959273, 20959281;0.330;Q1;101;537;1454;15048;1244;1449;0.78;28,02;Netherlands;Western Europe;Elsevier BV;2015-2020;Multidisciplinary (Q1)
17;28472;Fractals;journal;17936543, 0218348X;0.326;Q1;39;38;100;802;85;98;0.69;21,11;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1995-2020;"Multidisciplinary (Q1); Applied Mathematics (Q3); Modeling and Simulation (Q3); Geometry and Topology (Q4)"
18;13883;Caribbean Journal of Science;journal;00086452;0.311;Q1;31;31;176;958;98;174;0.50;30,90;Puerto Rico;Latin America;University of Puerto Rico Medical Sciences Campus;1980, 1982-2010, 2016, 2019;Multidisciplinary (Q1)
19;26207;Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University;journal;02582724;0.310;Q1;20;146;449;1507;103;449;0.24;10,32;China;Asiatic Region;Science Press;1991, 1998, 2001-2019;Multidisciplinary (Q1)
20;18761;Advances in Complex Systems;journal;02195259;0.288;Q1;30;53;83;1458;50;82;0.58;27,51;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;2004-2020;"Multidisciplinary (Q1); Control and Systems Engineering (Q2)"
21;24197;Scientific American;journal;00368733;0.270;Q1;88;345;881;5;666;624;1.12;0,01;United States;Northern America;Scientific American Inc.;1947-1950, 1958-2018;Multidisciplinary (Q1)
22;23649;Journal of Scientific and Industrial Research;journal;00224456;0.241;Q1;49;151;384;3127;158;377;0.42;20,71;India;Asiatic Region;National Institute of Science Communication and Information Resources (NISCAIR);1969-1970, 1972-1978, 1980, 1982-1991, 1994-2020;Multidisciplinary (Q1)
23;28036;Indian Journal of Pure and Applied Physics;journal;09751041, 00195596;0.240;-;38;163;456;2820;160;454;0.34;17,30;India;Asiatic Region;National Institute of Science Communication and Information Resources (NISCAIR);1969, 1971, 1974-1990, 1993-2019;Physics and Astronomy (miscellaneous) (Q3)
24;23697;Science Progress;journal;20477163, 00368504;0.240;Q2;33;16;23;1018;27;23;1.45;63,63;United Kingdom;Western Europe;Science Reviews Ltd;1946-1949, 1955, 1957, 1960-1963, 1965-1972, 1974-1993, 1995-2020;Multidisciplinary (Q2)
