Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;12000154482;Annual Review of Biophysics;journal;19361238, 1936122X;9.725;Q1;163;14;56;1732;649;55;11.83;123.71;United States;Northern America;Annual Reviews Inc.;2008-2021;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
2;26556;Catalysis Reviews - Science and Engineering;journal;15205703, 01614940;6.64;Q1;105;7;29;1139;303;29;5.72;162.71;United States;Northern America;Taylor and Francis Ltd.;1968-1972, 1974-2021;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
3;26532;Advances in Catalysis;book series;03600564;6.024;Q1;57;10;13;1115;125;6;5;111.5;United States;Northern America;Academic Press Inc.;1948, 1950-1960, 1962-1963, 1965-1970, 1972-1973, 1975-1977, 1979-1983, 1985-1987, 1989-1990, 1992-1994, 1996, 1998-2002, 2004, 2006-2007, 2009-2020;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
4;31446;Catalysis reviews;journal;03602451;5.406;Q1;0;0;0;0;0;0;0;0;United States;Northern America;Dekker;1980-1991;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
5;22687;Angewandte Chemie - International Edition;journal;14337851, 15213773;3.529;Q1;579;833;2105;32843;11794;2104;5.98;39.43;United Kingdom;Western Europe;John Wiley and Sons Ltd;1962-2021;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
6;22680;Journal of the American Chemical Society;journal;15205126, 00027863;3.438;Q1;644;2121;6499;93625;35787;5764;5.49;44.14;United States;Northern America;American Chemical Society;1879-2021;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
7;26960;Advances in Chemical Physics;book series;00652385;3.116;Q1;81;56;91;9257;514;91;3.63;165.3;United States;Northern America;"John Wiley &amp; Sons Inc.";1996-2014;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Bioengineering (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
8;16115;Nature Biotechnology;journal;15461696, 10870156;2.963;Q1;463;527;1452;5820;4510;932;3.12;11.04;United Kingdom;Western Europe;Nature Publishing Group;1989-2021;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
9;23392;Chemistry - A European Journal;journal;15213765, 09476539;2.904;-;254;446;722;25474;3290;715;4.71;57.12;Germany;Western Europe;Wiley-VCH Verlag;1995-2021;Chemistry (miscellaneous) (Q1)
10;17905;Yeast;journal;10970061, 0749503X;2.532;Q1;106;156;433;5113;1120;430;2.6;32.78;United Kingdom;Western Europe;John Wiley and Sons Ltd;1985-2021;"Applied Microbiology and Biotechnology (Q1); Biochemistry (Q1); Bioengineering (Q1); Biotechnology (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1)"
11;27476;Critical Reviews in Solid State and Materials Sciences;journal;15476561, 10408436;2.427;Q1;64;6;17;1213;52;17;3.25;202.17;United Kingdom;Western Europe;Taylor and Francis Ltd.;1977-1984, 1986-2021;"Chemical Engineering (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Physical and Theoretical Chemistry (Q1)"
12;26947;Journal of Catalysis;journal;10902694, 00219517;2.309;Q1;253;384;1159;13484;3667;1154;2.98;35.11;United States;Northern America;Academic Press Inc.;1962-2021;"Catalysis (Q1); Physical and Theoretical Chemistry (Q1)"
13;12878;Chemistry of Materials;journal;15205002, 08974756;2.148;Q1;393;513;1397;18402;4970;1397;3.14;35.87;United States;Northern America;American Chemical Society;1989-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1)"
14;16146;Trends in Biotechnology;journal;01677799, 18793096;2.106;Q1;231;110;297;3517;1357;276;4.77;31.97;United Kingdom;Western Europe;Elsevier Ltd.;1983-2021;"Bioengineering (Q1); Biotechnology (Q1)"
15;15579;Current Opinion in Biotechnology;journal;18790429, 09581669;2.045;Q1;214;105;317;4111;1120;287;3.91;39.15;United Kingdom;Western Europe;Elsevier Ltd.;1990-2022;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1)"
16;25125;Journal of Analytical Toxicology;journal;19452403, 01464760;2.019;Q1;78;117;332;2065;757;283;2.42;17.65;United States;Northern America;Preston Publications;1977-2021;"Analytical Chemistry (Q1); Chemical Health and Safety (Q1); Environmental Chemistry (Q1); Health, Toxicology and Mutagenesis (Q1); Toxicology (Q1)"
17;25762;Advances in Polymer Science;book series;00653195;1.944;Q1;118;43;35;584;94;35;2.82;13.58;United States;Northern America;Springer New York;1958-1961, 1963-1964, 1969, 1976-1982, 1986-1987, 1990-2021;"Chemical Engineering (miscellaneous) (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)"
18;16343;Applied Catalysis B: Environmental;journal;18733883, 09263373;1.921;Q1;274;104;348;3260;961;330;2.45;31.35;Netherlands;Western Europe;Elsevier;1992-2022;"Catalysis (Q1); Environmental Science (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
19;4100151523;Advances in Chemical Engineering;book series;00652377;1.803;Q1;31;4;11;335;18;9;1.2;83.75;United States;Northern America;Academic Press Inc.;1956, 1958, 1962, 1964, 1966, 1968, 1970, 1974, 1978, 1981, 1983, 1987-1988, 1990-1992, 1994-1996, 1998-1999, 2001, 2004-2021;"Biomaterials (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
20;21493;Reviews in Computational Chemistry;book series;10693599;1.801;Q1;45;6;34;912;152;34;3.16;152;Germany;Western Europe;Wiley-VCH Verlag;1996-2007, 2009-2010, 2015;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
21;22781;Chemical Communications;journal;1364548X, 13597345;1.777;Q1;348;1183;3706;23315;11084;3705;3.15;19.71;United Kingdom;Western Europe;Royal Society of Chemistry;1965-1968, 1996-2021;"Catalysis (Q1); Ceramics and Composites (Q1); Chemistry (miscellaneous) (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1); Surfaces, Coatings and Films (Q1)"
22;40699;HRC Journal of High Resolution Chromatography;journal;09356304;1.747;Q1;0;0;0;0;0;0;0;0;United Kingdom;Western Europe;John Wiley and Sons Ltd;1978-2000;Chemical Engineering (miscellaneous) (Q1)
23;21100329308;Journal of Vacuum Science and Technology B:Nanotechnology and Microelectronics;journal;21662746, 21662754;1.723;Q1;120;633;2078;8916;3283;2078;1.48;14.09;United States;Northern America;AVS Science and Technology Society;1991-1992, 2009-2021;"Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1); Materials Chemistry (Q1); Process Chemistry and Technology (Q1); Surfaces, Coatings and Films (Q1)"
24;24074;Helvetica Chimica Acta;journal;0018019X, 15222675;1.624;Q2;85;190;534;7166;1373;534;2.56;37.72;United States;Northern America;Wiley-Blackwell;1918-2021;"Biochemistry (Q1); Drug Discovery (Q1); Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Catalysis (Q2)"
25;29364;"Energy &amp; Fuels";journal;08870624, 15205029;1.585;Q1;198;162;537;3176;676;537;1.15;19.6;United States;Northern America;American Chemical Society;1987-2021;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
26;26513;Tetrahedron Asymmetry;journal;1362511X, 09574166;1.574;Q2;109;547;1561;15967;3929;1561;2.73;29.19;United Kingdom;Western Europe;Elsevier Ltd.;1990-2017;"Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Catalysis (Q2)"
27;13517;Ultrasonics Sonochemistry;journal;13504177, 18732828;1.561;Q1;140;40;110;797;283;109;2.01;19.93;Netherlands;Western Europe;Elsevier;1994-2021;"Acoustics and Ultrasonics (Q1); Chemical Engineering (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
28;14257;Protein Engineering, Design and Selection;journal;17410126, 17410134;1.538;Q1;112;145;620;5315;1459;619;2.26;36.66;United Kingdom;Western Europe;Oxford University Press;1986-1996, 2004-2021;"Biochemistry (Q1); Bioengineering (Q1); Biotechnology (Q1); Molecular Biology (Q2)"
